spawners	recruits	year	season
0.059	0.17	1966	fall
0.019	0.017	1967	fall
0.009	0.053	1968	fall
0.006	0.007	1970	fall
0.005	0.049	1971	fall
0.01	0.004	1996	fall
0.004	0.008	2000	fall
0.005	0.03	2001	fall
0.011	0.075	2002	fall
0.004	0.039	2003	fall
0.015	0.025	2004	fall
0.03	0.079	2005	fall
0.015	0.062	2006	fall
0.065	0.101	2007	fall
0.009	0.052	1971	spring
0.039	0.007	1972	spring
0.012	0.001	1975	spring
0.008	0.013	1995	spring
0.002	0.01	1997	spring
0.008	0.035	2001	spring
0.011	0.04	2002	spring
0.019	0.042	2003	spring
0.027	0.094	2005	spring
0.043	0.123	2006	spring
0.008	0.012	2000	winter
0.013	0.036	2002	winter
0.043	0.028	2003	winter
0.012	0.048	2004	winter
0.051	0.066	2005	winter
0.007	0.166	2006	winter
0.009	0.059	2007	winter
