year,agid,spname,month,day,weight,tl,sex,otoage
2001,1,Black Drum,4,30,15.74,787.5,male,6
2001,2,Black Drum,5,2,12.4,700,male,5
2001,3,Black Drum,5,3,74,1295,female,61
2001,4,Black Drum,5,3,47,1035,female,15
2001,5,Black Drum,5,10,,1205,unknown,33
2001,6,Black Drum,5,10,,1155,female,19
2001,7,Black Drum,5,10,,1135,unknown,23
2001,8,Black Drum,5,10,,1140,male,23
2001,9,Black Drum,5,11,9.2,642.5,female,3
2001,10,Black Drum,5,11,3.1,475,female,2
2001,11,Black Drum,5,14,,1210,unknown,33
2001,12,Black Drum,5,14,,1155,male,20
2001,13,Black Drum,5,14,,1252.5,male,34
2001,14,Black Drum,5,14,,1185,male,26
2001,15,Black Drum,5,14,,1247.5,female,37
2001,16,Black Drum,5,14,,1290,male,51
2001,17,Black Drum,5,14,,1197.5,male,33
2001,18,Black Drum,5,14,,1270,male,40
2001,19,Black Drum,5,14,,1217.5,male,40
2001,20,Black Drum,5,14,,1222.5,unknown,9
2001,21,Black Drum,5,14,,1227.5,unknown,37
2001,22,Black Drum,5,14,,1210,unknown,32
2001,23,Black Drum,5,14,,1225,unknown,40
2001,24,Black Drum,5,14,,1180,female,27
2001,25,Black Drum,5,14,,1170,unknown,35
2001,26,Black Drum,5,14,,1235,unknown,40
2001,27,Black Drum,5,14,,1227.5,male,35
2001,28,Black Drum,5,14,,1242.5,female,32
2001,29,Black Drum,5,14,,1235,female,44
2001,30,Black Drum,5,14,,1205,male,39
2001,31,Black Drum,5,14,,1075,male,17
2001,32,Black Drum,5,14,,1275,male,27
2001,33,Black Drum,5,14,,1280,female,34
2001,34,Black Drum,5,14,,1115,female,15
2001,35,Black Drum,5,14,,1227.5,female,38
2001,36,Black Drum,5,14,,1230,unknown,37
2001,37,Black Drum,5,14,,1205,female,25
2001,38,Black Drum,5,14,,1315,male,38
2001,39,Black Drum,5,15,20,815,male,6
2001,40,Black Drum,5,15,6.5,580,unknown,3
2001,41,Black Drum,5,16,10.6,650,unknown,4
2001,42,Black Drum,5,16,20.5,845,female,6
2001,43,Black Drum,5,17,15.5,800.1,unknown,5
2001,44,Black Drum,5,17,,1115,male,20
2001,45,Black Drum,5,17,,1200,male,33
2001,46,Black Drum,5,17,,605,unknown,3
2001,47,Black Drum,5,17,,597.5,unknown,3
2001,48,Black Drum,5,17,,1195,female,33
2001,49,Black Drum,5,17,,1255,female,31
2001,50,Black Drum,5,18,,1037.5,male,11
2001,51,Black Drum,5,18,,1035,female,11
2001,52,Black Drum,5,18,,1160,male,22
2001,53,Black Drum,5,18,,1050,male,16
2001,54,Black Drum,5,18,,1115,male,27
2001,55,Black Drum,5,18,,1085,male,13
2001,56,Black Drum,5,18,,990,male,11
2001,57,Black Drum,5,18,,1077.5,female,10
2001,58,Black Drum,5,22,5.94,561,male,3
2001,59,Black Drum,5,22,,1117.6,male,15
2001,60,Black Drum,5,22,,1066.8,male,30
2001,61,Black Drum,5,22,,1130.3,male,20
2001,62,Black Drum,5,22,,1155.7,male,31
2001,63,Black Drum,5,22,,1257.3,female,46
2001,64,Black Drum,5,22,,1047.7,male,11
2001,65,Black Drum,5,22,,1143,male,24
2001,66,Black Drum,5,22,,1200.1,male,31
2001,67,Black Drum,5,22,41,1079.5,male,31
2001,68,Black Drum,5,22,34,1028.7,male,14
2001,69,Black Drum,5,22,,1167.5,female,33
2001,70,Black Drum,5,22,,1265,male,37
2001,71,Black Drum,5,22,,1180,male,27
2001,72,Black Drum,5,22,,1032.5,male,11
2001,73,Black Drum,5,22,,1185,female,32
2001,74,Black Drum,5,22,,1212.5,male,39
2001,75,Black Drum,5,22,,1205,male,42
2001,76,Black Drum,5,22,,1165,male,27
2001,77,Black Drum,5,22,,1157.5,male,25
2001,78,Black Drum,5,22,,1000,male,11
2001,79,Black Drum,5,22,,1295,female,37
2001,80,Black Drum,5,22,,1107.5,male,15
2001,81,Black Drum,5,22,,1055,male,12
2001,82,Black Drum,5,22,,972.5,female,13
2001,83,Black Drum,5,22,,1077.5,male,16
2001,84,Black Drum,5,22,,1105,male,20
2001,85,Black Drum,5,22,,1215,male,39
2001,86,Black Drum,5,22,,1200,unknown,33
2001,87,Black Drum,5,22,,1207.5,male,37
2001,88,Black Drum,5,22,,1140,male,29
2001,89,Black Drum,5,22,,1120,male,19
2001,90,Black Drum,5,22,,1252.5,male,35
2001,91,Black Drum,5,22,,1165,male,34
2001,92,Black Drum,5,22,,1165,male,30
2001,93,Black Drum,5,22,,1222.5,female,36
2001,94,Black Drum,5,22,,1117.5,male,30
2001,95,Black Drum,5,23,5.5,565.1,male,3
2001,96,Black Drum,5,23,6.8,647.7,unknown,2
2001,97,Black Drum,5,23,,965.2,male,11
2001,98,Black Drum,5,23,,1117.6,male,15
2001,99,Black Drum,5,23,,1028.7,male,16
2001,100,Black Drum,5,23,,1016,male,16
2001,101,Black Drum,5,23,,1092.2,male,15
2001,102,Black Drum,5,23,,1130.3,female,17
2001,103,Black Drum,5,23,,1098.5,male,23
2001,104,Black Drum,5,23,,1130.3,male,27
2001,105,Black Drum,5,23,,1028.7,male,11
2001,106,Black Drum,5,23,,1155.7,male,28
2001,107,Black Drum,5,23,,1130.3,male,31
2001,108,Black Drum,5,23,14.7,749.3,female,5
2001,109,Black Drum,5,23,17.4,806.4,male,6
2001,110,Black Drum,5,23,21.7,882.6,female,6
2001,111,Black Drum,5,23,7.9,635,male,3
2001,112,Black Drum,5,23,9.5,647.7,female,3
