# BloaterLH.txt
#
# year: Year of data (1981-1996)
# eggs: millions of eggs deposited
# age3: relative abundance of age-3 fish
#
# Data extracted from figure 7 of Schaeffer, J.S. 2004. Population dynamics of bloaters Coregonus hoyi
#   in Lake Huron, 1980-1998.  Ann Zool Fennici. 41:271-279.		
#
year	eggs	age3
1981	0.0402	5.143
1982	0.0602	154.286
1983	0.1205	65.143
1984	0.1807	102.857
1985	0.7229	102.857
1986	0.5321	200.571
1987	0.4317	63.429
1988	0.4819	204.000
1989	1.1546	154.286
1990	2.0984	51.429
1991	1.5663	1.714
1992	1.5562	22.286
1993	0.7631	0.000
1994	0.8434	13.714
1995	1.0141	0.000
1996	1.0241	3.429
