age	tl
1	194
2	228
2	241
2	254
3	254
3	266
3	282
3	285
3	292
3	304
3	317
3	327
3	339
3	349
3	355
3	380
3	459
4	469
4	415
4	396
4	371
4	361
4	352
4	330
4	304
4	298
4	279
4	244
5	301
5	390
5	403
5	412
5	428
5	437
5	444
5	453
5	463
5	478
5	497
5	523
5	542
6	573
6	535
6	523
6	485
6	466
6	441
6	431
6	425
6	358
6	346
7	422
7	456
7	475
7	491
7	523
7	545
7	567
7	586
7	662
7	675
8	865
8	795
8	779
8	599
8	573
8	510
8	478
8	447
8	418
9	453
9	535
9	548
9	586
9	605
9	637
9	694
10	830
10	757
10	741
10	722
10	656
10	434
11	570
11	599
11	643
11	735
11	789
11	798
11	865
11	1004
12	922
12	884
12	868
13	795
13	959
13	994
13	1086
13	1134
14	1070
14	988
15	763
15	1165
15	1235
16	1206
16	1127
16	1054
16	884
16	833
16	472
17	554
17	1134
17	1165
18	1001
18	922
18	798
19	1289
23	1077
25	1121
