"tag","Lm","Lr","dL","dt"
"1171",226,241,15,1.96986301369863
"1197",226,249,23,1.99452054794521
"1281",239,244,5,0.926027397260274
"1283",229,246,17,0.972602739726027
"1304",185,213,28,1.01643835616438
"1313",152,203,51,1.1041095890411
"1326",218,236,18,0.956164383561644
"1326",218,239,21,0.980821917808219
"1326",218,251,33,2.05205479452055
"1327",175,211,36,0.978082191780822
"1331",246,249,3,0.956164383561644
"1332",229,239,10,0.980821917808219
"1340",231,239,8,0.983561643835616
"1355",246,251,5,0.972602739726027
"1459",203,236,33,1.95342465753425
"1464",224,229,5,0.972602739726027
"1469",229,231,2,1.05205479452055
"1481",190,216,26,0.972602739726027
"1481",190,229,39,2.04657534246575
"1482",173,208,35,0.96986301369863
"1485",236,241,5,0.96986301369863
"1485",236,241,5,0.904109589041096
"1486",234,246,12,2.04109589041096
"1490",208,221,13,0.950684931506849
"1572",188,208,20,1.01643835616438
"1618",239,241,2,0.983561643835616
"1618",239,249,10,1.95616438356164
"1648",218,241,23,2.9972602739726
"1757",229,241,12,0.90958904109589
"1812",239,246,7,0.980821917808219
"1812",239,251,12,1.95616438356164
"1812",239,251,12,2.04931506849315
"1820",208,226,18,1.07123287671233
"1826",168,226,58,2.04931506849315
"1830",188,216,28,0.958904109589041
"1834",196,216,20,0.980821917808219
"1847",185,208,23,0.956164383561644
"1848",198,216,18,0.956164383561644
"1848",190,216,26,0.873972602739726
"1850",180,226,46,1.95342465753425
"1885",226,234,8,0.956164383561644
"1887",246,249,3,1.04931506849315
"1904",173,229,56,1.9972602739726
"1912",173,213,40,1.08219178082192
"1918",231,246,15,1.01369863013699
"1918",234,246,12,0.895890410958904
"1927",178,213,35,1.01643835616438
"1927",178,234,56,1.99452054794521
"1931",188,216,28,1.01643835616438
"1939",185,208,23,1.01643835616438
"1945",183,211,28,1.01369863013699
"1945",183,226,43,1.99178082191781
"1949",183,224,41,1.99178082191781
"1950",201,224,23,0.994520547945206
"1950",201,221,20,0.994520547945206
"1951",246,246,0,0.906849315068493
"1970",226,239,13,1.00547945205479
"1974",208,229,21,0.904109589041096
"1994",224,239,15,0.923287671232877
"1994",224,236,12,1.90684931506849
"2000",198,226,28,1
