netID	species	tl	
41	Bluntnose	2.0	
41	Bluntnose	2.4	
41	Bluntnose	2.4	
41	Bluntnose	2.3	
41	Bluntnose	2.2	
41	Bluntnose	2.3	
41	Bluntnose	2.4	
41	Bluntnose	2.4	
41	Bluntnose	2.4	
41	Bluntnose	2.4	
41	Bluntnose	2.2	
41	Bluntnose	1.9	
41	Bluntnose	2.3	
41	Bluntnose	2.0	
41	Bluntnose	2.3	
41	Bluntnose	2.1	
41	Bluntnose	1.6	
41	Bluntnose	2.1	
41	Bluntnose	2.3	
41	Bluntnose	2.3	
41	Bluntnose	2.2	
41	Bluntnose	2.3	
41	Bluntnose	2.2	
41	Bluntnose	2.3	
41	Bluntnose	2.2	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
