sex,age,fl
Female,0.166666667,30.3
Female,0.166666667,30.5
Female,0.166666667,28.8
Female,0.166666667,26.3
Female,0.166666667,31.9
Female,0.166666667,32.4
Female,0.166666667,29.8
Juvenile,0.166666667,27.8
Female,0.25,34
Female,0.25,31.2
Female,0.25,31.7
Female,0.25,31
Female,0.25,29.3
Female,0.25,34.2
Female,0.25,32.6
Female,0.25,31.5
Female,0.25,31.7
Female,0.25,29.2
Female,0.25,29.7
Juvenile,0.25,32.2
Juvenile,0.25,27.3
Juvenile,0.25,32.5
Male,0.25,32.5
Male,0.25,32.7
Male,0.25,32.1
Female,0.333333333,33.8
Female,0.333333333,38.8
Female,0.333333333,31.8
Female,0.333333333,34.5
Female,0.333333333,33.8
Juvenile,0.333333333,30.6
Female,0.416666667,34.9
Female,0.416666667,36.2
Female,0.416666667,35.4
Female,0.416666667,37.3
Female,0.416666667,34.5
Female,0.416666667,36.3
Juvenile,0.416666667,35.2
Juvenile,0.416666667,35.6
Juvenile,0.416666667,33.7
Juvenile,0.416666667,35.1
Juvenile,0.416666667,34.8
Juvenile,0.416666667,34.6
Juvenile,0.416666667,34.2
Juvenile,0.416666667,33.4
Juvenile,0.416666667,33.6
Juvenile,0.416666667,32.1
Male,0.416666667,34.2
Female,0.5,38.2
Male,0.5,37.4
Female,0.75,41.3
Female,0.75,42.8
Female,0.75,40.2
Female,0.75,42.9
Female,0.833333333,39.1
Female,0.916666667,37.5
Female,0.916666667,37
Female,0.916666667,38.8
Female,0.916666667,37.5
Female,0.916666667,39.1
Female,0.916666667,38.8
Female,0.916666667,39.1
Female,0.916666667,36.8
Female,1,39.4
Female,1,37.9
Female,1,36.5
Female,1,39.2
Female,1,35
Female,1,38.8
Female,1,38.3
Female,1,39.3
Male,1,45.7
Male,1,38
Male,1,49
Male,1,41.9
Male,1,38.5
Male,1,38.9
Male,1,37.6
Male,1,38.8
Female,1.083333333,43.4
Female,1.083333333,38.7
Female,1.083333333,38.4
Female,1.083333333,37.6
Female,1.083333333,38.2
Male,1.083333333,48
Male,1.083333333,36.6
Male,1.083333333,35.8
Male,1.083333333,37
Male,1.083333333,35.2
Male,1.083333333,35.6
Female,1.166666667,41
Female,1.166666667,42.1
Female,1.166666667,39.6
Female,1.166666667,43.3
Female,1.166666667,45.7
Male,1.166666667,41.3
