len	sample	recap
11.8	first	NO
11.2	first	NO
8	first	NO
14.1	first	NO
18.1	first	NO
9	first	NO
10.4	first	NO
8.1	first	NO
7.6	first	NO
8.1	first	NO
10.4	first	NO
9.4	first	NO
8.8	first	NO
8.5	first	NO
9.4	first	NO
12.6	first	NO
10.4	first	NO
12	first	NO
8.6	first	NO
8.2	first	NO
8.3	first	NO
10.4	first	NO
10.4	first	NO
7.2	first	NO
18.3	first	NO
16.4	first	NO
29	first	NO
22	first	NO
18.5	first	NO
16.6	first	NO
22.3	first	NO
18.2	first	NO
17.8	first	NO
22.8	first	NO
20.5	first	NO
20.9	first	NO
27.3	first	NO
16.4	first	NO
11	first	NO
11.6	first	NO
8.8	first	NO
22.6	first	NO
16.8	first	NO
22.5	first	NO
14.2	first	NO
11.6	first	NO
12.5	first	NO
19.4	first	NO
25.1	first	NO
21.8	first	NO
24	first	NO
19.3	first	NO
18.4	first	NO
29.3	first	NO
26.6	first	NO
20.6	first	NO
10.7	first	NO
9.1	first	NO
11.3	first	NO
14.1	first	NO
19.6	first	NO
14	first	NO
11.6	first	NO
12.6	first	NO
12.8	first	NO
11.4	first	NO
14.1	first	NO
11.6	first	NO
13.8	first	NO
9.4	first	NO
8.8	first	NO
8.7	first	NO
24.1	first	NO
12.1	first	NO
14.5	first	NO
10.6	first	NO
13.6	first	NO
15.6	first	NO
12.2	first	NO
15.4	first	NO
11.4	first	NO
10.6	first	NO
12.1	first	NO
11.5	first	NO
9.7	first	NO
9.2	first	NO
11.6	first	NO
10.4	first	NO
17.6	first	NO
27	first	NO
22.6	first	NO
17.8	first	NO
19	first	NO
16.8	first	NO
16.4	first	NO
13.5	first	NO
13	first	NO
12.4	first	NO
11.7	first	NO
9.1	first	NO
13.8	first	NO
11.8	first	NO
13.7	first	NO
12.4	first	NO
10.5	first	NO
15.4	first	NO
15.1	first	NO
9.2	first	NO
19.7	first	NO
11.8	first	NO
12.7	first	NO
12	first	NO
11.5	first	NO
19.1	first	NO
21.3	first	NO
11.7	first	NO
12.7	first	NO
15.7	first	NO
17.2	first	NO
11.2	first	NO
26.4	first	NO
22.8	first	NO
11.8	first	NO
10.8	first	NO
12.1	first	NO
10.3	first	NO
11.4	first	NO
8.6	first	NO
7.4	first	NO
10.9	first	NO
9.5	first	NO
