age,fl,lake,era
14,459,Harrison,1977-80
12,449,Harrison,1977-80
10,471,Harrison,1977-80
10,446,Harrison,1977-80
9,400,Harrison,1977-80
9,440,Harrison,1977-80
9,462,Harrison,1977-80
8,480,Harrison,1977-80
8,449,Harrison,1977-80
7,437,Harrison,1977-80
7,431,Harrison,1977-80
7,425,Harrison,1977-80
7,419,Harrison,1977-80
6,409,Harrison,1977-80
6,397,Harrison,1977-80
5,419,Harrison,1977-80
5,381,Harrison,1977-80
5,363,Harrison,1977-80
5,351,Harrison,1977-80
4,372,Harrison,1977-80
2,199,Harrison,1977-80
2,184,Harrison,1977-80
1,91,Harrison,1977-80
12,440,Harrison,1997-01
11,428,Harrison,1997-01
10,440,Harrison,1997-01
10,422,Harrison,1997-01
9,434,Harrison,1997-01
9,415,Harrison,1997-01
9,406,Harrison,1997-01
8,434,Harrison,1997-01
8,406,Harrison,1997-01
8,375,Harrison,1997-01
7,415,Harrison,1997-01
7,394,Harrison,1997-01
6,381,Harrison,1997-01
6,357,Harrison,1997-01
5,341,Harrison,1997-01
5,326,Harrison,1997-01
4,304,Harrison,1997-01
4,292,Harrison,1997-01
4,270,Harrison,1997-01
4,252,Harrison,1997-01
4,221,Harrison,1997-01
3,258,Harrison,1997-01
3,233,Harrison,1997-01
3,211,Harrison,1997-01
3,205,Harrison,1997-01
3,180,Harrison,1997-01
2,196,Harrison,1997-01
2,171,Harrison,1997-01
2,143,Harrison,1997-01
1,131,Harrison,1997-01
1,88,Harrison,1997-01
1,75,Harrison,1997-01
0,51,Harrison,1997-01
0,41,Harrison,1997-01
0,20,Harrison,1997-01
7,245,Harrison,1997-01
7,279,Harrison,1997-01
5,245,Harrison,1997-01
8,360,Osprey,1977-80
8,357,Osprey,1977-80
7,357,Osprey,1977-80
7,329,Osprey,1977-80
6,385,Osprey,1977-80
6,323,Osprey,1977-80
5,369,Osprey,1977-80
5,326,Osprey,1977-80
4,357,Osprey,1977-80
4,326,Osprey,1977-80
4,258,Osprey,1977-80
4,239,Osprey,1977-80
3,221,Osprey,1977-80
3,258,Osprey,1977-80
3,276,Osprey,1977-80
11,688,Osprey,1997-01
10,369,Osprey,1997-01
9,400,Osprey,1997-01
8,381,Osprey,1997-01
8,332,Osprey,1997-01
7,394,Osprey,1997-01
7,388,Osprey,1997-01
7,354,Osprey,1997-01
7,320,Osprey,1997-01
6,320,Osprey,1997-01
6,347,Osprey,1997-01
6,360,Osprey,1997-01
5,354,Osprey,1997-01
5,335,Osprey,1997-01
5,313,Osprey,1997-01
5,289,Osprey,1997-01
4,313,Osprey,1997-01
4,298,Osprey,1997-01
3,279,Osprey,1997-01
3,273,Osprey,1997-01
