date,length,age,maturity,stage
4/28/2003,51,NA,Mature,6
5/4/2003,52,NA,Mature,6
7/6/2003,57,NA,Mature,7
7/6/2003,52,NA,Mature,6
7/30/2003,53,NA,Mature,6
7/30/2003,54,NA,Mature,6
7/29/2003,55,NA,Mature,6
11/9/2003,67,NA,Mature,4
11/9/2003,54,NA,Mature,2
3/2/2004,56,NA,Mature,4
3/17/2004,60,NA,Mature,3
7/12/2004,69,NA,Mature,7
7/12/2004,47,NA,Immature,2
7/14/2004,54,NA,Mature,7
7/16/2004,57,NA,Mature,7
7/17/2004,54,NA,Mature,7
7/18/2004,52,NA,Mature,7
7/26/2004,53,NA,Mature,7
7/31/2004,48,NA,Mature,7
8/4/2004,56,NA,Mature,6
8/12/2004,45,NA,Mature,7
8/14/2004,58,NA,Mature,7
2/2/2005,61,NA,Mature,4
2/5/2005,64,NA,Mature,4
2/24/2005,53,NA,Mature,4
2/26/2005,59,NA,Mature,4
3/11/2005,51,NA,Mature,5
3/11/2005,66,NA,Mature,5
3/20/2005,57,NA,Mature,4
3/23/2005,50,NA,Mature,6
3/23/2005,42,NA,Mature,6
3/24/2005,53,NA,Mature,6
3/25/2005,53,NA,Mature,4
4/4/2005,50,NA,Mature,3
4/9/2005,51,NA,Mature,7
4/23/2005,57,NA,Immature,6
4/27/2005,59,NA,Mature,3
5/4/2005,53,NA,Mature,6
5/28/2005,43,NA,Mature,2
6/4/2005,60,NA,Mature,6
6/8/2005,51,NA,Mature,6
6/9/2005,53,NA,Mature,6
6/24/2005,54,NA,Mature,7
6/27/2005,57,NA,Mature,7
7/10/2005,54,NA,Unknown,7
7/12/2005,52,NA,Mature,7
7/18/2005,67,NA,Mature,7
7/21/2005,55,NA,Mature,6
7/28/2005,52,NA,Mature,7
5/4/2003,51,5,Mature,6
7/3/2003,44,5,Immature,2
7/5/2003,47,5,Mature,7
7/5/2003,47,5,Mature,7
7/5/2003,53,6,Mature,6
7/6/2003,53,6,Mature,7
10/26/2003,46,4,Mature,7
10/26/2003,51,4,Mature,7
4/19/2004,58,6,Mature,6
5/1/2004,57,6,Mature,6
6/17/2004,62,9,Mature,6
7/6/2004,48,4,Immature,7
