lakeid,year4,sampledate,gearid,spname,length,weight,sex
TR,1981,8/11/1981,VGN032,CISCO,140,21.4,F
TR,1981,8/10/1981,VGN032,CISCO,146,22.3,F
TR,1981,8/11/1981,VGN032,CISCO,147,23.3,F
TR,1981,8/19/1981,VGN032,CISCO,153,23.5,F
TR,1981,8/19/1981,VGN032,CISCO,150,24,F
TR,1981,8/19/1981,VGN032,CISCO,152,24,F
TR,1981,8/19/1981,VGN032,CISCO,146,24.5,F
TR,1981,8/11/1981,VGN032,CISCO,153,25.9,F
TR,1981,8/11/1981,VGN032,CISCO,156,26.5,F
TR,1981,8/10/1981,VGN032,CISCO,176,35.8,F
TR,1981,8/11/1981,VGN032,CISCO,183,45.9,F
TR,1981,8/18/1981,VGN032,CISCO,179,47.5,F
TR,1981,8/11/1981,VGN038,CISCO,189,47.8,F
TR,1981,8/19/1981,VGN032,CISCO,195,50,F
TR,1981,8/19/1981,VGN038,CISCO,196,50,F
TR,1981,8/12/1981,VGN032,CISCO,193,52,F
TR,1981,8/11/1981,VGN038,CISCO,200,53,F
TR,1981,8/19/1981,VGN032,CISCO,203,55,F
TR,1981,8/11/1981,VGN032,CISCO,198,56,F
TR,1981,8/11/1981,VGN038,CISCO,203,58,F
TR,1981,8/12/1981,VGN032,CISCO,205,59,F
TR,1981,8/18/1981,VGN038,CISCO,210,60,F
TR,1981,8/19/1981,VGN032,CISCO,210,60,F
TR,1981,8/19/1981,VGN032,CISCO,215,65,F
TR,1981,8/19/1981,VGN032,CISCO,216,65,F
TR,1981,8/19/1981,VGN038,CISCO,211,70,F
TR,1981,8/19/1981,VGN051,CISCO,222,80,F
TR,1981,8/19/1981,VGN051,CISCO,232,92,F
TR,1981,8/12/1981,VGN032,CISCO,152,NA,F
TR,1981,8/19/1981,VGN032,CISCO,195,NA,F
TR,1981,8/12/1981,VGN038,CISCO,200,NA,F
TR,1981,8/19/1981,VGN038,CISCO,202,NA,F
TR,1981,8/19/1981,VGN032,CISCO,204,NA,F
TR,1981,8/19/1981,VGN038,CISCO,205,NA,F
TR,1981,8/19/1981,VGN032,CISCO,207,NA,F
TR,1981,8/19/1981,VGN032,CISCO,207,NA,F
TR,1981,8/19/1981,VGN038,CISCO,211,NA,F
TR,1981,8/19/1981,VGN038,CISCO,212,NA,F
TR,1981,8/19/1981,VGN038,CISCO,212,NA,F
TR,1981,8/19/1981,VGN032,CISCO,213,NA,F
TR,1981,8/19/1981,VGN032,CISCO,213,NA,F
TR,1981,8/19/1981,VGN038,CISCO,218,NA,F
TR,1981,8/19/1981,VGN051,CISCO,226,NA,F
TR,1981,8/12/1981,TRAMML,CISCO,230,NA,F
TR,1981,8/11/1981,VGN019,CISCO,94,5.3,I
TR,1981,8/12/1981,VGN019,CISCO,93,5.8,I
TR,1981,8/12/1981,VGN032,CISCO,187,46.1,I
TR,1981,8/19/1981,VGN038,CISCO,211,70,I
TR,1981,8/19/1981,VGN032,CISCO,146,22,M
TR,1981,8/19/1981,VGN032,CISCO,146,22.5,M
TR,1981,8/19/1981,VGN032,CISCO,148,22.5,M
TR,1981,8/11/1981,VGN032,CISCO,150,23.7,M
TR,1981,8/12/1981,VGN032,CISCO,148,23.8,M
TR,1981,8/19/1981,VGN032,CISCO,150,24,M
TR,1981,8/11/1981,VGN032,CISCO,151,24.2,M
TR,1981,8/18/1981,VGN032,CISCO,144,25,M
TR,1981,8/11/1981,VGN032,CISCO,150,25.1,M
TR,1981,8/12/1981,VGN032,CISCO,173,38.6,M
TR,1981,8/12/1981,VGN038,CISCO,190,44,M
TR,1981,8/12/1981,VGN038,CISCO,188,46.9,M
TR,1981,8/10/1981,VGN032,CISCO,190,47.4,M
TR,1981,8/12/1981,VGN038,CISCO,194,48,M
TR,1981,8/11/1981,VGN032,CISCO,191,49.2,M
TR,1981,8/11/1981,VGN038,CISCO,193,50,M
TR,1981,8/19/1981,VGN038,CISCO,197,50,M
TR,1981,8/19/1981,VGN038,CISCO,203,50,M
TR,1981,8/12/1981,VGN038,CISCO,195,51,M
TR,1981,8/11/1981,VGN032,CISCO,201,52,M
TR,1981,8/12/1981,VGN038,CISCO,203,52,M
TR,1981,8/11/1981,VGN032,CISCO,204,52,M
TR,1981,8/12/1981,VGN038,CISCO,201,53,M
TR,1981,8/11/1981,VGN032,CISCO,194,55,M
TR,1981,8/11/1981,VGN032,CISCO,200,58,M
TR,1981,8/19/1981,VGN032,CISCO,205,60,M
TR,1981,8/19/1981,VGN032,CISCO,146,NA,M
TR,1981,8/19/1981,VGN038,CISCO,178,NA,M
TR,1981,8/19/1981,VGN038,CISCO,201,NA,M
TR,1981,8/12/1981,VGN038,CISCO,202,NA,M
TR,1981,8/19/1981,VGN038,CISCO,202,NA,M
TR,1981,8/19/1981,VGN038,CISCO,209,NA,M
TR,1981,8/19/1981,VGN038,CISCO,210,NA,M
TR,1981,8/19/1981,VGN019,CISCO,91,4.5,NA
TR,1981,8/19/1981,VGN019,CISCO,96,5,NA
TR,1981,8/19/1981,VGN019,CISCO,96,5.5,NA
TR,1981,8/19/1981,VGN019,CISCO,98,5.5,NA
