len,age
41,0
42,0
42,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
52,0
55,0
57,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
60,1
60,1
60,1
61,1
62,1
62,1
63,1
63,1
64,1
65,1
71,1
71,1
71,1
72,1
74,1
74,1
76,1
76,1
77,1
78,1
80,1
80,1
80,1
81,1
81,1
81,1
82,1
83,1
95,1
97,1
98,1
98,1
99,1
99,1
99,1
99,1
100,1
100,1
103,1
105,1
107,1
90,2
93,2
100,2
103,2
105,2
105,2
106,2
110,2
110,2
110,2
110,2
112,2
113,2
113,2
115,2
119,2
119,2
124,2
125,2
125,2
125,2
128,2
128,2
131,2
132,2
133,2
140,2
151,2
167,2
142,3
143,3
144,3
147,3
149,3
152,3
166,3
172,3
166,4
171,4
176,4
198,4
205,4
45,NA
50,NA
51,NA
51,NA
52,NA
52,NA
52,NA
52,NA
52,NA
53,NA
53,NA
54,NA
54,NA
54,NA
55,NA
56,NA
56,NA
56,NA
56,NA
57,NA
57,NA
58,NA
58,NA
58,NA
60,NA
61,NA
61,NA
62,NA
62,NA
62,NA
62,NA
62,NA
62,NA
62,NA
63,NA
63,NA
63,NA
64,NA
64,NA
64,NA
65,NA
65,NA
65,NA
65,NA
66,NA
67,NA
67,NA
67,NA
67,NA
67,NA
68,NA
68,NA
68,NA
68,NA
69,NA
69,NA
70,NA
71,NA
71,NA
71,NA
71,NA
72,NA
73,NA
73,NA
73,NA
74,NA
74,NA
74,NA
74,NA
75,NA
76,NA
76,NA
76,NA
77,NA
78,NA
78,NA
78,NA
79,NA
91,NA
92,NA
93,NA
93,NA
94,NA
95,NA
95,NA
95,NA
96,NA
97,NA
97,NA
97,NA
97,NA
97,NA
99,NA
100,NA
101,NA
101,NA
101,NA
101,NA
102,NA
102,NA
104,NA
104,NA
105,NA
105,NA
105,NA
105,NA
106,NA
106,NA
106,NA
106,NA
108,NA
109,NA
109,NA
109,NA
109,NA
