species,harvest
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,6
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,5
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,4
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,3
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
WAE,2
