age,tl,sex
1,243,F
1,247,F
1,248,M
2,330,F
2,320,F
2,285,F
2,280,F
2,265,F
2,260,F
2,248,F
2,232,F
2,218,F
2,216,F
2,200,F
2,210,M
2,225,M
2,236,M
2,240,M
2,245,M
2,255,M
2,258,M
2,263,M
2,270,M
2,292,M
2,236,M
2,240,M
2,245,M
2,255,M
2,258,M
2,255,M
2,240,M
2,255,F
2,236,F
2,248,F
2,260,F
2,258,F
2,245,F
3,396,F
3,375,F
3,360,F
3,356,F
3,352,F
3,348,F
3,342,F
3,338,F
3,334,F
3,328,F
3,219,F
3,301,F
3,294,F
3,270,F
3,267,F
3,250,F
3,246,F
3,239,F
3,252,M
3,255,M
3,258,M
3,275,M
3,313,M
3,324,M
3,346,M
3,255,M
3,258,M
3,270,F
3,342,F
3,352,F
3,356,F
4,400,F
4,382,F
4,370,F
4,365,F
4,362,F
4,350,F
4,341,F
4,338,F
4,325,F
4,315,F
4,287,F
4,281,F
4,268,F
4,330,M
4,295,M
4,270,M
4,325,F
4,362,F
4,341,F
5,445,F
5,435,F
5,433,F
5,432,F
5,426,F
5,417,F
5,412,F
5,401,F
5,398,F
5,368,F
5,350,F
5,297,F
5,290,F
5,364,M
5,361,M
5,353,M
5,345,M
5,338,M
5,332,M
5,328,M
5,327,M
5,322,M
5,320,M
5,318,M
5,315,M
5,310,M
5,287,M
5,279,M
5,364,F
5,361,F
5,353,F
5,345,F
5,338,F
5,332,F
5,328,F
5,327,F
5,322,F
5,320,F
5,318,F
5,315,F
5,310,F
5,315,M
5,327,M
5,338,M
5,353,M
5,332,M
5,433,F
5,432,F
5,426,F
5,417,F
5,412,F
5,338,F
5,332,F
5,328,F
5,327,F
5,322,F
5,353,F
5,345,F
5,338,F
5,332,F
5,328,F
5,350,F
5,401,F
5,433,F
6,409,F
6,400,F
6,394,F
6,389,F
6,377,F
6,357,F
6,351,F
6,350,F
6,338,F
6,327,F
6,318,F
6,314,F
6,301,M
6,308,M
6,312,M
6,325,M
6,326,M
6,331,M
6,337,M
6,343,M
6,345,M
6,380,M
6,430,M
6,435,M
6,343,F
6,331,F
6,394,F
6,343,M
6,326,M
7,460,F
7,443,F
7,435,F
7,429,F
7,423,F
7,408,F
7,404,F
7,395,F
7,390,F
7,386,F
7,378,F
7,370,F
7,367,F
7,361,F
7,325,F
7,304,F
7,297,F
7,272,F
7,270,M
7,292,M
7,308,M
7,315,M
7,317,M
7,319,M
7,324,M
7,330,M
7,334,M
7,337,M
7,340,M
7,344,M
7,350,M
7,352,M
7,365,M
7,372,M
7,381,M
7,317,M
7,319,M
7,324,M
7,330,M
7,334,M
7,337,M
7,340,M
7,344,M
7,350,M
7,317,F
7,319,F
7,324,F
7,330,F
7,334,F
7,337,F
7,340,F
7,344,F
7,350,F
7,361,F
7,370,F
7,378,F
7,337,F
8,439,F
8,435,F
8,428,F
8,423,F
8,415,F
8,410,F
8,392,F
8,377,F
8,358,F
8,342,F
8,340,F
8,430,M
8,400,M
8,388,M
8,371,M
8,353,M
8,346,M
8,337,M
8,335,M
8,333,M
8,322,M
8,312,M
8,305,M
8,298,M
8,290,M
8,353,F
8,346,F
8,337,F
8,335,F
8,410,F
8,423,F
8,423,F
8,428,F
8,439,F
8,335,F
8,342,F
8,423,F
8,358,F
9,496,F
9,487,F
9,475,F
9,470,F
9,468,F
9,464,F
9,460,F
9,458,F
9,448,F
9,433,F
9,427,F
9,420,F
9,414,F
9,410,F
9,394,F
9,390,F
9,386,F
9,376,F
9,352,F
9,340,F
9,328,F
9,319,F
9,462,M
9,442,M
9,427,M
9,370,M
9,363,M
9,335,M
9,325,M
9,311,M
9,302,M
9,414,F
9,386,F
9,433,F
9,468,F
9,475,F
9,390,F
9,448,F
9,420,F
9,475,F
9,340,F
10,480,F
10,327,M
