age	tl	river
1	37.8	Salmon
2	39.7	Salmon
2	43.6	Salmon
2	46.7	Salmon
2	47.6	Salmon
2	50.4	Salmon
2	51.2	Salmon
2	56.2	Salmon
3	60.5	Salmon
3	56.2	Salmon
3	55	Salmon
3	53.8	Salmon
3	51.2	Salmon
4	59.4	Salmon
4	57.2	Salmon
4	53.4	Salmon
2	50.7	Salmon
2	46.7	Salmon
3	55.6	Salmon
3	53.8	Salmon
2	45.9	Salmon
1	43.1	Trent
2	44.2	Trent
2	47.2	Trent
2	48.2	Trent
2	49.1	Trent
2	59.4	Trent
5	62.5	Trent
4	63.5	Trent
4	61.3	Trent
4	60.3	Trent
4	57.5	Trent
4	55.9	Trent
3	49.9	Trent
3	51	Trent
3	63.2	Trent
3	61.2	Trent
3	60.4	Trent
3	59.4	Trent
3	58.4	Trent
3	57.5	Trent
3	56.8	Trent
3	55.8	Trent
3	55.1	Trent
3	54.3	Trent
3	53.4	Trent
3	52.6	Trent
2	47.6	Trent
4	60.8	Trent
4	56.4	Trent
3	58.4	Trent
3	60.2	Trent
3	55.1	Trent
4	61	Trent
