reach	habitat	strata	area	coho1	coho2	coho3	cutt1	cutt2	cutt3
1	pool	2	89	96	23	21	12	4	0
1	pool	2	107	62	17	8	23	5	2
1	riffle	1	51	15	7	0	4	2	0
1	riffle	1	223	71	17	8	27	8	5
1	run	2	116	85	24	22	4	3	1
1	run	2	46	29	14	7	13	2	0
1	run	2	139	129	23	13	20	8	3
2	pool	5	82	377	80	32	55	14	13
2	pool	5	103	253	90	48	61	20	15
2	pool	5	71	245	39	30	38	18	8
2	pool	5	45	122	32	15	25	19	6
2	riffle	3	144	35	16	5	70	29	13
2	riffle	3	345	116	65	41	54	35	24
2	riffle	3	103	32	23	6	16	10	3
2	riffle	3	97	76	34	22	15	13	6
2	riffle	3	137	35	20	17	30	9	5
2	run	4	128	164	47	27	11	15	8
2	run	4	81	70	55	25	36	20	11
2	run	4	33	44	14	3	14	10	3
2	run	4	63	92	22	13	3	3	3
2	run	4	115	218	56	38	21	9	5
2	run	4	132	313	78	41	8	1	5
3	pool	2	46	56	11	4	25	5	3
3	pool	2	100	70	21	12	15	5	2
3	pool	2	54	114	26	4	12	7	7
3	riffle	1	114	16	4	2	20	4	1
3	riffle	1	99	19	11	3	12	6	2
3	riffle	1	93	23	12	3	21	14	5
3	riffle	1	89	24	19	6	13	8	10
3	riffle	1	37	11	5	2	13	12	2
3	riffle	1	29	5	1	0	11	3	2
3	riffle	1	60	23	8	2	8	3	0
3	run	2	107	139	45	24	10	4	3
3	run	2	82	96	48	27	28	20	4
3	run	2	102	91	60	18	21	11	9
3	run	2	120	69	16	11	24	12	5
