# Age (from scales) and total length (mm) of freshwater drum (Aplodinotus grunniens) 
#   in the western basin of Lake Erie.  Data simulated from the age-length key 
#   provided in table 3 of Bur, M.T.  1984.  Growth, reproduction, mortality, 
#   distribution, and biomass of freshwater drum in Lake Erie.  Journal of Great 
#   Lakes Research.  10:48-58.
#
age	tl
1	106
1	100
1	117
1	110
1	110
1	115
1	118
1	118
1	113
1	126
1	126
1	122
1	126
1	128
1	123
1	124
1	125
1	122
1	126
1	124
1	122
1	121
1	132
1	136
1	131
1	135
1	131
1	133
1	134
1	130
1	135
1	130
1	133
1	134
1	132
1	130
1	131
1	136
1	135
1	133
1	137
1	137
1	137
1	135
1	138
1	130
1	136
1	133
1	138
1	136
1	130
1	132
1	132
1	135
1	132
1	137
1	138
1	130
1	134
1	131
1	138
1	143
1	141
1	142
1	146
1	141
1	140
1	141
1	144
1	140
1	141
1	145
1	148
1	140
1	147
1	147
1	148
1	141
1	143
1	144
1	141
1	142
1	145
1	145
1	142
1	158
1	158
1	152
1	155
1	158
1	150
1	155
1	150
1	154
1	154
1	157
1	158
1	156
1	154
1	155
1	167
1	167
1	162
1	168
1	162
1	161
1	167
1	164
1	176
1	174
1	177
1	177
1	172
1	173
1	178
1	170
1	170
1	177
1	173
1	171
1	171
1	172
1	173
1	175
1	172
1	172
1	183
1	185
1	188
1	183
1	186
1	182
1	180
1	181
1	191
1	198
1	191
1	194
1	191
1	190
1	196
1	191
1	191
1	198
1	191
1	193
1	208
1	202
1	207
1	205
1	200
1	207
1	202
1	213
1	213
1	214
1	221
1	225
1	223
1	237
1	232
1	260
2	150
2	171
2	172
2	178
2	172
2	173
2	175
2	176
2	186
2	182
2	186
2	180
2	187
2	182
2	194
2	196
2	198
2	192
2	194
2	194
2	197
2	193
2	195
2	193
2	196
2	195
2	197
2	194
2	203
2	204
2	207
2	207
2	200
2	215
2	212
2	214
2	213
2	213
2	215
2	216
2	210
2	222
2	221
2	226
2	228
2	221
2	223
2	226
2	224
2	222
2	224
2	227
2	222
2	223
2	236
2	231
2	235
2	233
2	233
2	231
2	234
2	238
2	243
2	248
2	243
2	242
2	240
2	246
2	240
2	254
