age,tl
3,212
3,206
1,155
4,285
5,282
6,276
3,264
2,216
4,251
1,135
3,226
3,218
4,274
3,228
6,307
4,227
3,217
9,378
6,327
4,223
5,263
6,301
5,255
5,307
14,714
6,272
3,200
6,315
1,118
5,271
3,225
3,206
6,290
6,325
3,236
7,340
1,134
5,327
5,278
5,300
4,243
5,262
13,740
3,244
6,312
4,214
3,275
1,174
4,231
1,128
6,325
3,237
4,295
6,347
6,306
4,278
3,182
4,266
3,235
4,272
1,232
6,357
1,135
3,214
4,238
8,346
4,244
8,351
8,346
10,486
6,288
6,323
8,353
1,145
3,220
4,288
4,245
4,247
3,230
5,243
3,222
5,271
6,297
5,308
5,250
3,216
4,226
5,327
4,325
10,465
7,308
4,266
6,308
5,295
3,234
3,222
4,266
6,328
2,207
4,251
5,254
1,183
4,254
4,253
5,256
1,126
5,296
8,403
4,275
4,263
4,203
5,285
3,237
4,261
4,257
6,305
1,150
4,201
1,177
6,276
4,285
3,244
6,285
4,233
3,228
4,266
3,205
1,181
7,347
4,275
5,287
1,193
1,167
3,221
6,301
2,221
1,191
4,233
4,297
3,238
5,283
3,246
9,387
9,442
3,234
5,267
7,390
4,273
5,301
3,234
3,250
1,171
1,196
5,280
4,250
7,411
3,201
5,273
4,240
5,276
6,305
6,420
4,257
2,173
3,228
4,258
3,250
4,246
5,262
6,291
3,215
5,240
4,263
3,226
4,274
4,250
2,222
4,253
5,285
5,297
1,145
3,240
4,241
4,278
4,267
3,227
4,244
5,264
3,242
4,234
5,315
5,284
5,290
3,216
3,238
7,264
8,363
3,227
5,284
6,311
4,275
4,366
3,235
2,197
1,237
11,475
6,295
6,273
3,197
6,333
5,250
4,282
4,224
6,256
4,252
7,366
4,264
5,286
3,221
3,220
5,286
6,314
5,261
10,372
4,255
7,313
5,315
7,336
5,311
3,213
3,191
5,215
5,292
7,333
2,210
1,158
1,214
1,134
5,267
4,266
8,430
3,292
4,266
5,266
1,136
1,144
8,338
1,131
6,335
1,106
1,148
11,572
8,453
NA,328
NA,320
NA,126
NA,324
NA,325
NA,186
NA,326
NA,326
NA,203
NA,305
NA,176
NA,357
NA,203
NA,326
NA,326
NA,243
NA,427
NA,272
NA,231
NA,236
NA,327
NA,340
NA,126
NA,401
NA,278
NA,352
NA,208
NA,307
NA,271
NA,327
NA,270
NA,240
NA,221
NA,187
NA,228
NA,232
NA,232
NA,281
NA,278
NA,258
NA,201
NA,254
NA,237
NA,205
NA,232
NA,222
NA,352
NA,278
NA,472
NA,224
NA,367
NA,246
NA,311
NA,362
NA,276
NA,186
NA,287
NA,273
NA,272
NA,247
NA,191
NA,237
NA,342
NA,284
NA,123
NA,250
NA,220
NA,227
NA,214
NA,212
NA,215
NA,210
NA,410
NA,295
NA,353
NA,275
NA,175
NA,200
NA,471
NA,418
NA,253
NA,274
NA,226
NA,172
NA,291
NA,235
NA,207
NA,213
NA,300
NA,207
NA,268
NA,428
NA,235
NA,277
NA,228
NA,305
NA,257
NA,230
NA,231
NA,276
NA,172
NA,235
NA,273
NA,265
NA,182
NA,280
NA,193
NA,265
NA,373
NA,200
NA,234
NA,245
NA,171
NA,272
NA,162
NA,292
NA,351
NA,122
NA,221
NA,244
NA,308
NA,263
NA,257
NA,278
NA,244
NA,255
NA,276
NA,158
NA,448
NA,215
NA,286
NA,361
NA,216
NA,376
NA,315
NA,212
NA,242
NA,294
NA,237
NA,344
NA,266
NA,298
NA,208
NA,235
NA,325
NA,228
NA,195
NA,288
NA,262
NA,194
NA,242
NA,265
NA,280
NA,213
NA,286
NA,271
NA,285
NA,195
NA,230
NA,178
NA,264
NA,223
NA,217
NA,288
NA,294
NA,226
NA,305
NA,241
NA,264
NA,243
NA,285
NA,266
NA,235
NA,258
NA,162
NA,248
NA,158
NA,426
NA,194
NA,223
NA,230
NA,287
NA,231
NA,220
NA,280
NA,284
NA,132
NA,223
NA,323
NA,263
NA,346
NA,228
NA,274
NA,155
NA,241
NA,264
NA,288
NA,251
NA,233
NA,224
NA,277
