# Ghats.txt
#
# extracted from Figure 1 in Dahanukar, N., R. Raut, and A. Bhat.  2004.  Distribution,
#   endemism and threat status of freshwater fishes in the Western Ghats of India.
#   Journal of Biogeography 31:123-126.
#
# unit: a manuscript that was reviewed.
# cum.spec: cumulative number of species described in the reviewed manuscripts.
#
unit	cumspec
1	1
1	4
1	10
1	25
1	32
1	47
1	51
1	53
1	67
2	72
2	58
2	55
2	53
2	16
2	11
2	50
2	55
2	60
3	48
3	55
3	60
3	107
3	110
3	78
3	67
3	90
4	65
4	71
4	78
4	87
4	114
4	121
4	132
4	135
4	112
5	139
5	138
5	136
5	121
5	102
5	89
5	84
5	82
5	65
6	83
6	94
6	123
6	125
6	135
6	138
6	140
6	143
6	171
7	97
7	174
7	173
7	157
7	149
7	143
7	138
7	161
7	142
8	135
8	136
8	138
8	139
8	148
8	151
8	170
8	172
8	181
9	210
9	181
9	180
9	158
9	156
9	152
9	149
9	145
9	142
10	142
10	144
10	149
10	159
10	170
10	173
10	180
10	187
10	211
11	194
11	190
11	187
11	180
11	167
11	156
11	191
11	193
11	188
12	155
12	168
12	182
12	188
12	205
12	215
12	200
12	201
12	194
13	222
13	220
13	216
13	213
13	191
13	187
13	184
13	178
13	167
14	178
14	178
14	188
14	189
14	191
14	193
14	213
14	220
14	221
15	233
15	223
15	220
15	197
15	195
15	193
15	190
15	180
15	182
16	192
16	194
16	195
16	224
16	230
16	200
16	205
16	213
16	199
17	239
17	238
17	229
17	226
17	212
17	208
17	206
17	195
17	191
18	191
18	195
18	200
18	209
18	213
18	217
18	238
18	242
18	244
19	254
19	251
19	243
19	227
19	225
19	213
19	208
19	200
19	198
20	202
20	213
20	217
20	235
20	255
20	220
20	225
20	228
20	219
21	255
21	235
21	216
21	213
21	207
21	201
21	221
21	233
21	245
22	202
22	212
22	213
22	217
22	222
22	236
22	246
22	254
22	256
23	259
23	257
23	247
23	237
23	235
23	218
23	213
23	205
23	229
24	205
24	217
24	218
24	221
24	237
24	240
24	249
24	261
24	264
25	267
25	260
25	249
25	241
25	230
25	218
25	208
25	245
25	252
26	208
26	222
26	234
26	242
26	252
26	262
26	268
26	273
26	248
27	275
27	272
27	265
27	258
27	241
27	233
27	226
27	214
27	222
28	218
28	234
28	242
28	260
28	272
28	275
28	265
28	261
28	272
29	275
29	273
29	272
29	266
29	260
29	242
29	237
29	220
29	245
30	222
30	237
30	245
30	265
30	269
30	276
30	279
30	258
30	270
31	282
31	278
31	276
31	272
31	265
31	261
31	255
31	247
31	239
32	240
32	250
32	265
32	268
32	276
32	279
32	281
32	282
32	280
33	282
33	278
33	274
33	269
33	249
33	239
33	250
33	241
33	264
34	242
34	250
34	269
34	276
34	282
34	284
34	285
34	272
34	280
35	286
35	284
35	283
35	280
35	275
35	269
35	254
35	274
35	284
36	275
36	277
36	283
36	284
36	285
36	289
36	281
36	277
36	283
37	289
37	285
37	284
37	277
37	276
37	273
37	277
37	278
37	282
38	273
38	285
38	286
38	289
38	278
38	279
38	282
38	284
38	278
39	284
39	285
39	286
39	288
39	289
39	289
39	287
39	284
39	284
