location,year,species,set1,set2,set3,min.FL,max.FL
Greens48,2001,Dolly.Varden,30,16,22,48,139
Greens6,2001,Dolly.Varden,80,8,43,52,168
Greens6,2001,Coho.Salmon,1,0,2,81,90
Greens54,2001,Dolly.Varden,70,49,19,27,162
Greens54,2001,Coho.Salmon,2,6,4,32,95
Tributary9,2001,Dolly.Varden,70,4,7,58,110
Tributary9,2001,Coho.Salmon,89,18,11,39,101
Greens48,2002,Dolly.Varden,74,29,23,45,160
Greens54,2002,Dolly.Varden,168,72,31,33,160
Greens54,2002,Coho.Salmon,14,6,1,59,85
Tributary9,2002,Dolly.Varden,29,14,8,38,147
Tributary9,2002,Coho.Salmon,29,9,6,27,85
Greens48,2003,Dolly.Varden,157,72,56,54,180
Greens54,2003,Dolly.Varden,92,81,59,51,184
Greens54,2003,Coho.Salmon,5,3,0,44,52
Tributary9,2003,Dolly.Varden,13,4,2,54,114
Tributary9,2003,Coho.Salmon,37,11,4,46,88
Greens48,2004,Dolly.Varden,168,48,28,54,158
Greens54,2004,Dolly.Varden,118,36,47,52,161
Greens54,2004,Coho.Salmon,9,9,6,70,95
Tributary9,2004,Dolly.Varden,21,6,5,64,109
Tributary9,2004,Coho.Salmon,23,2,2,40,94
Greens48,2005,Dolly.Varden,118,56,38,50,149
Greens54,2005,Dolly.Varden,111,59,43,52,146
Greens54,2005,Coho.Salmon,33,20,8,66,93
Tributary9,2005,Dolly.Varden,21,12,11,59,131
Tributary9,2005,Coho.Salmon,82,42,15,39,103
Greens48,2006,Dolly.Varden,138,40,34,49,150
Greens6,2006,Dolly.Varden,44,41,12,53,150
Greens6,2006,Coho.Salmon,1,0,0,89,89
Greens54,2006,Dolly.Varden,116,61,40,49,158
Greens54,2006,Coho.Salmon,6,0,1,62,88
Tributary9,2006,Dolly.Varden,7,3,1,85,117
Tributary9,2006,Coho.Salmon,5,4,1,69,108
Greens48,2007,Dolly.Varden,50,29,16,53,154
Greens54,2007,Dolly.Varden,64,19,24,50,145
Greens54,2007,Coho.Salmon,0,0,0,NA,NA
Tributary9,2007,Dolly.Varden,7,5,0,81,158
Tributary9,2007,Coho.Salmon,50,10,9,38,104
Greens48,2008,Dolly.Varden,54,10,9,77,137
Greens54,2008,Dolly.Varden,50,15,6,45,131
Greens54,2008,Coho.Salmon,4,0,0,53,69
Tributary9,2008,Dolly.Varden,15,4,3,60,108
Tributary9,2008,Coho.Salmon,72,44,26,41,100
Greens48,2009,Dolly.Varden,67,31,28,47,142
Greens54,2009,Dolly.Varden,42,32,19,47,101
Greens54,2009,Coho.Salmon,2,2,0,67,73
Tributary9,2009,Dolly.Varden,24,5,9,48,98
Tributary9,2009,Coho.Salmon,42,9,2,38,116
Greens48,2010,Dolly.Varden,97,41,20,47,170
Greens54,2010,Dolly.Varden,46,13,14,52,151
Greens54,2010,Coho.Salmon,1,0,0,77,77
Tributary9,2010,Dolly.Varden,21,7,31,58,108
Tributary9,2010,Coho.Salmon,77,21,30,39,90
Greens48,2011,Dolly.Varden,56,28,41,54,155
Greens6,2011,Dolly.Varden,98,42,23,31,151
Greens6,2011,Coho.Salmon,0,0,0,NA,NA
Greens54,2011,Dolly.Varden,73,43,57,43,150
Greens54,2011,Coho.Salmon,0,0,0,NA,NA
Tributary9,2011,Dolly.Varden,15,7,14,50,125
Tributary9,2011,Coho.Salmon,18,18,13,38,100
Greens48,2012,Dolly.Varden,85,22,28,64,148
Greens54,2012,Dolly.Varden,92,39,58,47,143
Greens54,2012,Coho.Salmon,0,3,2,67,71
Tributary9,2012,Dolly.Varden,17,11,12,66,112
Tributary9,2012,Coho.Salmon,39,9,7,46,105
