# HalibutPAC.txt
#
year	ssb	rec	land	fmort
1929	NA	NA	56.9	NA	
1930	NA	NA	49.4	NA	
1931	NA	NA	44.2	NA	
1932	NA	NA	44.5	NA	
1933	NA	NA	46.8	NA	
1934	NA	NA	47.5	NA	
1935	43841.52	7227.7	47.3	0.27	
1936	47712.93	8199.4	48.9	0.37	
1937	49381.24	8326.3	49.5	0.37	
1938	51448.71	8452.3	49.6	0.32	
1939	53923.51	8016.5	50.9	0.28	
1940	56504.00	7480.1	53.4	0.30	
1941	58583.72	7155.5	52.2	0.29	
1942	61715.32	6541.1	50.4	0.26	
1943	66371.45	6267.5	53.7	0.24	
1944	70827.99	7042.7	53.4	0.24	
1945	73717.38	4786.9	53.4	0.22	
1946	76925.64	4859.5	60.3	0.25	
1947	78908.29	3660.2	55.7	0.23	
1948	81717.84	3566.8	55.6	0.21	
1949	84234.82	3588.6	55.0	0.24	
1950	84152.27	4157.8	57.5	0.22	
1951	85340.68	6087.0	56.0	0.21	
1952	87127.84	4954.1	62.7	0.28	
1953	85291.24	4682.3	60.7	0.21	
1954	89649.36	4733.2	71.1	0.28	
1955	89275.14	5499.4	57.5	0.18	
1956	92447.11	4168.9	56.0	0.21	
1957	91171.61	4835.3	63.1	0.21	
1958	88710.42	4572.8	54.8	0.21	
1959	86396.19	3294.1	70.7	0.22	
1960	82349.24	2895.4	71.3	0.21	
1961	78342.21	4016.0	69.7	0.21	
1962	74879.03	2810.4	75.3	0.24	
1963	70199.32	2797.5	71.3	0.26	
1964	64836.49	2602.9	60.4	0.23	
1965	60347.74	2437.8	64.0	0.23	
1966	56825.60	2346.7	62.7	0.31	
1967	50527.01	2468.0	56.0	0.28	
1968	47771.44	2477.2	49.3	0.23	
1969	46776.26	2675.8	58.7	0.31	
1970	42582.80	2993.7	55.3	0.33	
1971	38528.59	3022.0	48.0	0.28	
1972	36097.33	3409.9	44.0	0.26	
1973	34169.11	4199.2	33.7	0.22	
1974	32905.86	3875.7	21.3	0.16	
1975	33846.61	3943.2	28.0	0.21	
1976	33459.24	4483.2	28.0	0.19	
1977	33945.49	5087.9	22.9	0.15	
1978	36151.77	3816.3	22.9	0.14	
1979	38458.74	3869.7	23.5	0.13	
1980	42004.92	4282.0	22.9	0.15	
1981	45051.70	5423.0	26.9	0.14	
1982	NA	NA	29.3	0.13	
1983	NA	NA	29.1	0.15	
1984	NA	NA	45.0	0.16	
1985	NA	NA	56.0	0.22	
1986	NA	NA	70.0	0.24	
1987	NA	NA	70.0	0.26	
1988	NA	NA	74.0	0.27	
1989	NA	NA	67.0	0.27	
1990	NA	NA	NA	0.26	
1991	NA	NA	NA	0.28	

