spawning.year	ssb	recruits
1962	163.5	1.770
1963	221.8	5.182
1964	272.5	5.607
1965	566.5	2.527
1966	552.6	0.627
1967	558.9	0.203
1968	404.3	7.801
1969	119.1	2.951
1970	703.4	3.006
1971	812.4	1.992
1972	519.6	1.715
1973	476.6	1.309
1974	337.1	3.486
1975	136.9	1.494
1976	117.9	0.867
1977	60.8	0.811
1978	67.2	2.693
1979	126.7	1.770
1980	266.2	1.918
1981	294.0	2.361
1982	342.2	3.246
1983	366.3	2.637
1984	491.8	2.158
1985	513.3	1.125
1986	476.6	4.703
1987	403.0	2.785
1988	552.6	5.072
1989	551.3	1.180
1990	752.9	4.611
1991	643.9	0.941
1992	901.1	0.904
1993	784.5	1.641
1994	861.9	0.885
1995	690.7	1.051
1996	458.8	1.936
1997	376.4	3.670
