sectMrun,Mrun,Rrun,sectRrun
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
1,1,0,NA
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,2
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
2,1,0,NA
