# KingCrabAK.txt
#
# Data from table 1 in Bechtol W.R. and G.H. Kruse.  2009.  Analysis of a stock-recruit
#   relationship for red king crab off Kodiak Island Alaska.  Marine and Coastal
#   Fisheries: Dynamics Management and Ecosystem Science  1:29-44.
#
# year: brood year
# recruits: abundance (thousands) of male recruits (>=125 mm and <145 mm)
# adults: abundance (thousands) legal (>=145 mm carapace length) males
#
year	recruits	adults
1960	5287	11456				
1961	20906	10799				
1962	31641	17415				
1963	25101	25246				
1964	13226	31176				
1965	7190	28797				
1966	3947	17552				
1967	5634	8453				
1968	4255	5662				
1969	2737	4565				
1970	6208	3628				
1971	3808	5127				
1972	2735	5696				
1973	5684	6015				
1974	5903	8458				
1975	3072	8947				
1976	902	7930				
1977	3643	5925				
1978	12469	4646				
1979	8661	7162				
1980	2033	8575				
1981	1076	7529				
1982	747	1552				
1983	531	718				
1984	156	940				
1985	67	621				
1986	24	474				
1987	33	455
1988	12	440				
1989	16	411				
1990	191	210				
1991	166	238
1992	90	97
1993	37	80
1994	84	89
1995	149	51
1996	227	162
1997	5	334
1998	78	229
1999	162	199
2000	332	105
2001	147	183
2002	106	109
2003	102	69
2004	152	144
