# Age (from scales) and total length (mm) of longjaw cisco (Coregonus alpenae) 
#  captured in northeastern Lake Michigan in 1923 and in southern Lake Michican in 
#  1928.  Data simulated from age-length data provided in tables 2 and 3 of Jobes, 
#  F.W.  1946.  The age, growth, and distribution of the longjaw cisco, Leucichthys 
#  alpenae Koelz, in Lake Michigan.  Transactions of the American Fisheries Society. 
#  76:215-247.
#
age	tl	loc
2	208	NE
2	210	NE
2	227	NE
2	223	NE
2	233	NE
2	237	NE
2	232	NE
2	234	NE
2	234	NE
2	231	NE
2	241	NE
2	247	NE
2	264	NE
3	218	NE
3	210	NE
3	228	NE
3	227	NE
3	223	NE
3	227	NE
3	237	NE
3	234	NE
3	231	NE
3	237	NE
3	238	NE
3	235	NE
3	234	NE
3	235	NE
3	233	NE
3	230	NE
3	238	NE
3	236	NE
3	230	NE
3	237	NE
3	234	NE
3	236	NE
3	233	NE
3	232	NE
3	242	NE
3	245	NE
3	244	NE
3	244	NE
3	244	NE
3	244	NE
3	244	NE
3	248	NE
3	240	NE
3	240	NE
3	244	NE
3	243	NE
3	242	NE
3	245	NE
3	242	NE
3	245	NE
3	244	NE
3	250	NE
3	251	NE
3	252	NE
3	257	NE
3	256	NE
3	253	NE
3	250	NE
3	250	NE
3	250	NE
3	250	NE
3	254	NE
3	268	NE
3	265	NE
3	263	NE
3	263	NE
3	264	NE
3	261	NE
3	268	NE
3	262	NE
3	266	NE
3	263	NE
3	261	NE
3	276	NE
3	270	NE
3	280	NE
3	285	NE
4	203	NE
4	205	NE
4	228	NE
4	225	NE
4	230	NE
4	236	NE
4	234	NE
4	234	NE
4	236	NE
4	238	NE
4	237	NE
4	230	NE
4	238	NE
4	235	NE
4	232	NE
4	230	NE
4	230	NE
4	230	NE
4	236	NE
4	237	NE
4	236	NE
4	232	NE
4	236	NE
4	240	NE
4	247	NE
4	243	NE
4	244	NE
4	248	NE
4	240	NE
4	244	NE
4	241	NE
4	247	NE
4	242	NE
4	243	NE
4	247	NE
4	240	NE
4	246	NE
4	245	NE
4	243	NE
4	240	NE
4	247	NE
4	246	NE
4	241	NE
4	247	NE
4	245	NE
4	244	NE
4	244	NE
4	242	NE
4	241	NE
4	243	NE
4	240	NE
4	241	NE
4	245	NE
4	246	NE
4	241	NE
4	245	NE
4	240	NE
4	244	NE
4	251	NE
4	257	NE
4	250	NE
4	255	NE
4	254	NE
4	258	NE
4	255	NE
4	250	NE
4	250	NE
4	255	NE
4	254	NE
4	254	NE
4	257	NE
4	252	NE
4	258	NE
4	258	NE
4	253	NE
4	255	NE
4	254	NE
4	252	NE
4	253	NE
4	254	NE
4	255	NE
4	252	NE
4	251	NE
4	253	NE
4	257	NE
4	256	NE
4	256	NE
4	253	NE
4	254	NE
4	257	NE
4	257	NE
4	258	NE
4	255	NE
4	257	NE
4	250	NE
4	250	NE
4	268	NE
4	263	NE
4	262	NE
4	266	NE
4	267	NE
4	262	NE
4	264	NE
4	268	NE
4	268	NE
4	260	NE
4	263	NE
4	265	NE
4	262	NE
4	260	NE
4	267	NE
4	264	NE
4	264	NE
4	268	NE
4	262	NE
4	261	NE
4	263	NE
4	263	NE
4	264	NE
4	263	NE
4	263	NE
4	264	NE
4	261	NE
4	267	NE
4	265	NE
4	260	NE
4	266	NE
4	267	NE
4	261	NE
4	266	NE
4	261	NE
4	261	NE
4	268	NE
4	263	NE
4	267	NE
4	271	NE
4	272	NE
4	275	NE
4	271	NE
4	273	NE
4	272	NE
4	270	NE
4	271	NE
4	277	NE
4	271	NE
4	275	NE
4	273	NE
4	275	NE
4	278	NE
4	275	NE
4	273	NE
4	278	NE
4	274	NE
4	276	NE
4	271	NE
4	273	NE
4	275	NE
4	277	NE
4	287	NE
4	287	NE
4	285	NE
4	280	NE
4	285	NE
4	280	NE
4	285	NE
4	281	NE
4	287	NE
4	291	NE
4	308	NE
4	303	NE
4	306	NE
4	318	NE
5	243	NE
5	253	NE
5	254	NE
5	252	NE
5	257	NE
5	251	NE
5	254	NE
5	264	NE
5	262	NE
5	261	NE
5	264	NE
5	268	NE
5	267	NE
5	260	NE
5	262	NE
5	264	NE
5	260	NE
5	278	NE
5	277	NE
5	274	NE
5	278	NE
5	276	NE
5	282	NE
5	285	NE
5	282	NE
5	288	NE
5	285	NE
5	294	NE
5	298	NE
5	295	NE
5	296	NE
5	296	NE
5	303	NE
5	306	NE
6	276	NE
6	275	NE
6	273	NE
6	271	NE
6	281	NE
6	286	NE
6	280	NE
6	285	NE
6	296	NE
6	298	NE
6	297	NE
6	295	NE
6	290	NE
6	304	NE
6	317	NE
6	318	NE
6	322	NE
6	324	NE
6	327	NE
6	384	NE
7	283	NE
7	290	NE
7	298	NE
7	297	NE
7	326	NE
7	325	NE
7	326	NE
7	338	NE
7	376	NE
8	332	NE
8	353	NE
8	365	NE
8	382	NE
9	375	NE
2	218	S
2	220	S
2	222	S
2	221	S
2	235	S
2	247	S
2	250	S
3	223	S
3	226	S
3	238	S
3	231	S
3	236	S
3	231	S
3	236	S
3	236	S
3	233	S
3	236	S
3	234	S
3	238	S
3	247	S
3	248	S
3	248	S
3	243	S
3	245	S
3	242	S
3	244	S
3	246	S
3	240	S
3	244	S
3	258	S
3	251	S
3	252	S
3	257	S
3	252	S
3	258	S
3	250	S
3	258	S
3	254	S
3	261	S
4	236	S
4	235	S
4	234	S
4	238	S
4	246	S
4	248	S
4	248	S
4	256	S
4	258	S
4	257	S
4	254	S
4	256	S
4	254	S
4	251	S
4	255	S
4	260	S
4	267	S
4	277	S
5	251	S
