year	recruits	wild	stocked	area
1971	1.1	0.2	20	MI3
1972	2.1	0.5	21	MI3
1973	4.2	12	182	MI3
1974	6.3	3.1	48	MI3
1975	3.8	3.2	47.5	MI3
1976	5.7	4.8	46	MI3
1977	14	11	69	MI3
1978	10.8	16	121	MI3
1979	2.3	4.9	48	MI3
1980	7.4	14	75	MI3
1981	2.2	14	84	MI3
1982	11.2	19	103	MI3
1983	2.9	18	109	MI3
1984	2.5	20	175	MI3
1985	3.5	45	81	MI3
1986	3.8	38	68	MI3
1987	5	10	11	MI3
1988	4.8	26	9	MI3
1989	3.8	22	5	MI3
1990	2.8	42	42	MI3
1991	2	28	1	MI3
1971	2.9	18.1	70.2	MI4
1972	3.3	55	45.5	MI4
1973	20	68	80.1	MI4
1974	26	64	150	MI4
1975	9.9	30	123	MI4
1976	7.9	28	80.2	MI4
1977	10.8	25	125	MI4
1978	9.8	52	151	MI4
1979	25.6	62	136	MI4
1980	20	52.3	139	MI4
1981	20.1	48.7	141	MI4
1982	16.9	41.6	80.2	MI4
1983	14.8	48.1	51	MI4
1984	19.9	52.2	50.7	MI4
1985	16.5	42.1	48.6	MI4
1986	8.9	30	30	MI4
1987	3.9	19.5	24.8	MI4
1988	5.5	29.9	9.9	MI4
1989	13.2	36.7	8.5	MI4
1990	13.3	47.1	49.7	MI4
1991	17.4	20.1	5.1	MI4
1971	10.1	0.5	95.1	MI5
1972	9.8	5.5	172	MI5
1973	23.1	7.8	150	MI5
1974	32	18.5	50.5	MI5
1975	57.9	10.3	71.9	MI5
1976	24.4	24.2	60.2	MI5
1977	22.6	26.7	49.8	MI5
1978	29.5	29.9	67.9	MI5
1979	63.3	65.7	30.4	MI5
1980	40.4	51.6	50	MI5
1981	43.5	58.3	121	MI5
1982	36	99.7	121	MI5
1983	20.2	89.9	135	MI5
1984	46.4	72.5	74.4	MI5
1985	20	61.2	75	MI5
1986	11.6	130.1	101	MI5
1987	20.2	159	62	MI5
1988	19.9	120.5	10.3	MI5
1989	24.1	119.2	5.5	MI5
1990	20.1	95.2	100	MI5
1991	10.9	75	2	MI5
1971	1	0.1	120	MI6
1972	1	1	140	MI6
1973	5	20	151	MI6
1974	30	5	42	MI6
1975	10	7	56	MI6
1976	8	9	51	MI6
1977	12	12	54	MI6
1978	10	14	44	MI6
1979	28	17	35	MI6
1980	19	13	26	MI6
1981	7	12	28	MI6
1982	8	80	115	MI6
1983	0.1	25	50	MI6
1984	18	19	12	MI6
1985	18	34	22	MI6
1986	21	38	14	MI6
1987	11	54	16	MI6
1988	11.5	48	2	MI6
1989	38	12	2	MI6
1990	11	50	58	MI6
1991	6	19	0.1	MI6
1971	3.9	3.6	122	MI7
1972	1.6	2	10.1	MI7
1973	19	3.5	18	MI7
1974	13.4	10.1	101	MI7
1975	5.7	10	82	MI7
1976	9.6	25.1	100	MI7
1977	16.8	27.3	51	MI7
1978	4.2	27	48	MI7
1979	6.5	21.5	26.5	MI7
1980	9	13.2	22.8	MI7
1981	8.1	50	35.1	MI7
1982	13	38.8	56.7	MI7
1983	7.7	33.2	34.5	MI7
1984	9.9	41.9	34.6	MI7
1985	NA	52.5	44	MI7
1986	9.4	22	14.7	MI7
1987	5.9	20.4	7.8	MI7
1988	8.6	26.7	5.4	MI7
1989	17.8	20.2	25	MI7
1990	6.8	44.9	33.2	MI7
1991	5.1	28.7	1	MI7
