year	age0	age1	age2	age3	age4	age5	age6
1964	2.8	3329.3	1495.2	118.1	4.4	0	0
1965	43.4	5031.4	1076.6	80.3	0.7	0	0
1966	30.5	3314.4	865.2	33.8	0.3	0	0
1967	22.4	4267.7	337.7	13	0	0	0
1968	65.1	3475.2	1001.3	37.5	0.5	0	0
1969	20.8	6075	1286.3	31.7	0	0	0
1970	50.2	3279.9	2280	36.1	0	0	0
1971	21.6	5761.1	1955.5	181.8	4.1	0	0
1972	19.1	3047.7	1733.5	88.5	4	0	0
1973	49.9	3033	1107	99.6	1.3	0	0
1974	1.4	3846.8	1471.7	59.1	0	0	0
1975	108.8	2440.5	1499.2	461.8	0.2	0	0
1976	0	4591.4	1373.9	203.9	0	0	0
1977	0	4660	1331.7	110.4	5.6	0	0
1978	0	6787.4	2742	52.7	5.2	0	0
1979	0	4701.2	2877.2	337.2	6.1	0.8	0
1980	65.9	3409.4	3261.1	436.2	46.3	1.6	0
1981	0	5750.5	1424.9	329.4	29.7	3.3	1.2
1982	0	5146.7	3302	503.5	58.5	2.1	1.7
1983	0	4685.7	3809.2	382.6	23.8	1.3	0
1984	0	7749.6	2881.5	438.4	49	0.7	0
1985	0	8682.7	2498.6	233.7	36.5	0	0
1986	0	4276	4892	174.9	25.8	1	0
1987	0	6699.5	3975.6	427.8	12.5	0	0
1988	0	5337.7	2581.4	151.5	18	0	0
1989	0	5550.4	1622	67	2.1	0	0
1990	0	3889.2	1785	136.2	13.1	0.3	0.4
1991	0	2217.5	2339.9	215.6	28.2	2.5	0
1992	0	2187.3	1505.8	197.1	24.2	1.7	0.2
1993	0	3492.8	1532.9	193.5	15.7	2.8	0.2
1994	0	3627.6	3195.6	441.2	49	3.7	0
1995	0	1369.2	2423.4	99.7	3.9	0.2	0
1996	0	1784.2	2513.7	251.1	16.8	0.9	0
1997	0	3235.6	2398.8	276.1	38.2	1.3	0
1998	0	1804.8	2587.1	189.7	15.2	1.6	0
1999	0	3368.8	2393	416.9	19.7	0	0
2000	0	2029.8	3164.5	347.7	62.5	3.4	0
2001	0	987.7	2654.2	290.2	18.9	0.8	0
2002	0	1585.6	2863.1	534	17.1	0	0
2003	0	1910.1	3011.7	339.6	13.4	0	0
2004	0	2799.4	1764	400.3	37.6	0	0
