first	second
2	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	4
3	4
3	4
3	4
3	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	5
4	5
4	5
4	5
4	5
4	3
4	3
4	3
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	7
5	7
5	6
5	6
5	6
5	6
5	4
5	4
5	4
5	4
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	8
6	8
6	8
6	8
6	8
6	7
6	7
6	7
6	7
6	7
6	7
6	7
6	7
6	7
6	5
6	5
6	5
6	5
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	10
7	10
7	9
7	9
7	9
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	8
7	6
7	6
7	6
7	6
7	6
8	8
8	8
8	8
8	8
8	8
8	10
8	9
8	9
8	9
8	9
8	9
8	7
8	7
8	7
8	7
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	10
9	10
9	8
9	8
9	8
10	10
10	10
10	10
10	10
10	10
10	10
10	10
10	10
10	12
10	11
10	11
10	11
10	9
11	11
11	11
11	11
11	11
11	12
11	12
11	12
11	8
12	13
12	13
12	13
12	11
13	13
13	13
13	16
14	14
14	14
15	15
15	16
15	16
15	14
14	14
16	16
16	18
17	17
17	14
18	21
18	19
18	19
19	19
20	21
20	19
22	20
24	25
28	25
30	30
