fl	age
19	2
20	2
20	2
20	2
23	2
24	2
25	2
28	2
20	3
22	3
23	3
23	3
24	3
24	3
24	3
24	3
24	3
24	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
25	3
26	3
26	3
26	3
26	3
26	3
26	3
26	3
27	3
27	3
28	3
29	3
29	3
30	3
22	4
23	4
24	4
24	4
24	4
24	4
24	4
24	4
24	4
24	4
25	4
25	4
25	4
25	4
25	4
26	4
26	4
26	4
26	4
26	4
26	4
26	4
26	4
26	4
27	4
27	4
27	4
27	4
27	4
27	4
27	4
27	4
28	4
28	4
28	4
28	4
28	4
28	4
28	4
28	4
28	4
28	4
29	4
29	4
29	4
29	4
29	4
29	4
30	4
30	4
30	4
31	4
31	4
31	4
32	4
25	5
25	5
26	5
26	5
26	5
26	5
27	5
27	5
27	5
27	5
27	5
27	5
27	5
27	5
28	5
28	5
28	5
28	5
28	5
28	5
29	5
29	5
29	5
29	5
29	5
29	5
30	5
30	5
30	5
30	5
30	5
30	5
30	5
30	5
31	5
31	5
31	5
31	5
31	5
32	5
32	5
32	5
32	5
32	5
32	5
33	5
33	5
33	5
34	5
26	6
26	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
27	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
28	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
29	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
30	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
31	6
32	6
32	6
32	6
32	6
32	6
32	6
32	6
32	6
32	6
32	6
32	6
33	6
33	6
33	6
33	6
34	6
34	6
39	6
25	7
26	7
26	7
26	7
26	7
26	7
26	7
27	7
27	7
27	7
27	7
28	7
28	7
28	7
28	7
28	7
28	7
28	7
28	7
29	7
29	7
29	7
29	7
29	7
29	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
30	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
31	7
32	7
32	7
32	7
32	7
32	7
32	7
32	7
32	7
32	7
32	7
33	7
33	7
33	7
34	7
34	7
34	7
26	8
27	8
29	8
29	8
29	8
29	8
30	8
30	8
30	8
30	8
30	8
30	8
31	8
31	8
31	8
31	8
32	8
32	8
33	8
33	8
35	8
37	8
24	9
28	9
28	9
29	9
29	9
29	9
29	9
29	9
30	9
30	9
30	9
31	9
31	9
31	9
32	9
32	9
32	9
33	9
34	9
36	9
38	9
28	10
29	10
29	10
31	10
32	10
32	10
32	10
35	10
29	11
31	11
31	11
32	11
32	11
32	11
32	11
33	11
33	11
30	12
30	12
31	12
32	12
30	13
38	13
30	14
31	14
32	14
38	14
40	14
29	15
30	15
31	15
34	15
36	15
30	16
31	16
33	17
36	17
42	17
