fl,age
29,8
30,7
30,3
28,5
28,6
31,5
31,7
27,4
30,7
30,7
25,3
32,6
32,7
24,4
30,7
30,7
28,9
22,4
31,6
25,3
30,6
30,8
28,2
33,9
30,7
26,3
31,7
23,3
30,5
33,7
28,6
30,6
30,6
25,4
26,4
26,5
31,6
30,15
29,6
33,6
31,7
30,5
32,10
33,11
29,7
26,7
32,7
27,4
29,6
26,4
31,6
31,7
27,6
25,3
26,4
28,10
26,7
27,7
25,3
29,6
31,10
31,6
28,4
28,7
29,6
27,5
30,9
30,7
29,11
32,5
28,4
31,7
31,15
27,3
28,4
29,4
32,11
27,6
28,6
37,8
29,6
29,7
27,6
32,6
38,9
32,6
29,3
32,8
35,8
29,4
32,5
36,15
32,6
24,3
27,5
39,6
24,3
24,4
20,2
34,9
19,2
34,7
42,17
40,14
30,NA
31,NA
26,NA
31,NA
30,NA
30,NA
31,NA
30,NA
28,NA
25,NA
30,NA
26,NA
31,NA
30,NA
31,NA
33,NA
28,NA
28,NA
30,NA
31,NA
29,NA
26,NA
31,NA
31,NA
28,NA
27,NA
29,NA
30,NA
29,NA
28,NA
31,NA
27,NA
25,NA
32,NA
30,NA
33,NA
24,NA
35,NA
31,NA
31,NA
30,NA
31,NA
28,NA
28,NA
28,NA
38,NA
28,NA
24,NA
28,NA
28,NA
24,NA
30,NA
28,NA
25,NA
32,NA
31,NA
32,NA
38,NA
32,NA
20,NA
25,NA
26,NA
27,NA
32,NA
28,NA
31,NA
32,NA
29,NA
26,NA
30,NA
29,NA
25,NA
30,NA
28,NA
29,NA
30,NA
32,NA
29,NA
27,NA
29,NA
30,NA
23,NA
32,NA
30,NA
30,NA
30,NA
30,NA
29,NA
27,NA
30,NA
32,NA
31,NA
27,NA
29,NA
33,NA
26,NA
31,NA
30,NA
27,NA
29,NA
32,NA
30,NA
29,NA
31,NA
30,NA
27,NA
29,NA
27,NA
32,NA
29,NA
25,NA
30,NA
22,NA
31,NA
31,NA
24,NA
32,NA
24,NA
25,NA
23,NA
30,NA
27,NA
30,NA
32,NA
30,NA
32,NA
29,NA
29,NA
29,NA
26,NA
32,NA
32,NA
26,NA
27,NA
28,NA
31,NA
32,NA
33,NA
31,NA
27,NA
23,NA
28,NA
30,NA
24,NA
24,NA
30,NA
26,NA
27,NA
30,NA
28,NA
28,NA
29,NA
25,NA
33,NA
24,NA
32,NA
27,NA
32,NA
27,NA
31,NA
31,NA
28,NA
26,NA
28,NA
30,NA
25,NA
32,NA
30,NA
25,NA
28,NA
29,NA
32,NA
31,NA
24,NA
29,NA
28,NA
30,NA
28,NA
26,NA
32,NA
26,NA
31,NA
29,NA
27,NA
28,NA
30,NA
33,NA
26,NA
29,NA
26,NA
31,NA
29,NA
30,NA
28,NA
34,NA
33,NA
28,NA
29,NA
28,NA
32,NA
25,NA
31,NA
34,NA
36,NA
29,NA
31,NA
30,NA
33,NA
30,NA
25,NA
33,NA
32,NA
30,NA
27,NA
30,NA
33,NA
28,NA
26,NA
29,NA
30,NA
26,NA
27,NA
27,NA
27,NA
25,NA
27,NA
30,NA
28,NA
27,NA
28,NA
30,NA
32,NA
24,NA
29,NA
26,NA
29,NA
29,NA
27,NA
30,NA
29,NA
25,NA
26,NA
27,NA
28,NA
29,NA
27,NA
32,NA
26,NA
26,NA
29,NA
31,NA
25,NA
28,NA
26,NA
26,NA
29,NA
32,NA
29,NA
25,NA
34,NA
33,NA
20,NA
29,NA
31,NA
30,NA
24,NA
27,NA
29,NA
28,NA
29,NA
24,NA
36,NA
32,NA
31,NA
20,NA
34,NA
30,NA
33,NA
31,NA
30,NA
32,NA
32,NA
34,NA
32,NA
34,NA
28,NA
31,NA
31,NA
