site,sitenum,day,month,year,sl,age,age2
Altea,9,8,2,2007,13.55,0,0.523287671
Altea,9,8,2,2007,14.26,0,0.523287671
Altea,9,8,2,2007,15.46,0,0.523287671
Altea,9,8,2,2007,16.11,0,0.523287671
Altea,9,8,2,2007,16.49,0,0.523287671
Altea,9,8,2,2007,16.67,0,0.523287671
Altea,9,8,2,2007,17.52,0,0.523287671
Altea,9,8,2,2007,17.62,0,0.523287671
Altea,9,8,2,2007,17.74,0,0.523287671
Altea,9,8,2,2007,18.25,0,0.523287671
Altea,9,8,2,2007,18.48,0,0.523287671
Altea,9,8,2,2007,19.19,0,0.523287671
Altea,9,8,2,2007,19.24,0,0.523287671
Altea,9,8,2,2007,19.26,0,0.523287671
Altea,9,8,2,2007,19.26,0,0.523287671
Altea,9,8,2,2007,19.26,0,0.523287671
Altea,9,8,2,2007,19.43,0,0.523287671
Altea,9,8,2,2007,19.43,0,0.523287671
Altea,9,8,2,2007,20.28,0,0.523287671
Altea,9,8,2,2007,20.34,0,0.523287671
Altea,9,8,2,2007,20.94,0,0.523287671
Altea,9,8,2,2007,21.09,0,0.523287671
Altea,9,8,2,2007,21.26,0,0.523287671
Altea,9,8,2,2007,21.26,0,0.523287671
Altea,9,8,2,2007,21.54,0,0.523287671
Altea,9,8,2,2007,21.56,0,0.523287671
Altea,9,8,2,2007,21.89,0,0.523287671
Altea,9,8,2,2007,21.9,0,0.523287671
Altea,9,8,2,2007,21.91,0,0.523287671
Altea,9,8,2,2007,22,0,0.523287671
Altea,9,8,2,2007,22.22,0,0.523287671
Altea,9,8,2,2007,22.26,0,0.523287671
Altea,9,8,2,2007,22.26,0,0.523287671
Altea,9,8,2,2007,22.51,0,0.523287671
Altea,9,8,2,2007,22.54,0,0.523287671
Altea,9,8,2,2007,22.79,0,0.523287671
Altea,9,8,2,2007,22.83,0,0.523287671
Altea,9,8,2,2007,24.08,0,0.523287671
Altea,9,8,2,2007,24.13,0,0.523287671
Altea,9,8,2,2007,24.24,0,0.523287671
Altea,9,8,2,2007,24.6,0,0.523287671
Altea,9,8,2,2007,24.72,0,0.523287671
Altea,9,8,2,2007,25.77,0,0.523287671
Altea,9,8,2,2007,25.88,0,0.523287671
Altea,9,8,2,2007,26.17,0,0.523287671
Altea,9,8,2,2007,26.25,0,0.523287671
Altea,9,8,2,2007,26.3,0,0.523287671
Altea,9,8,2,2007,26.42,0,0.523287671
Altea,9,8,2,2007,26.86,0,0.523287671
Altea,9,8,2,2007,27.55,0,0.523287671
Altea,9,8,2,2007,27.6,0,0.523287671
Altea,9,8,2,2007,29.09,0,0.523287671
Altea,9,8,2,2007,29.62,0,0.523287671
Altea,9,8,2,2007,29.72,0,0.523287671
Altea,9,20,3,2007,19.99,0,0.632876712
Altea,9,20,3,2007,20.59,0,0.632876712
Altea,9,20,3,2007,20.65,0,0.632876712
Altea,9,20,3,2007,21.26,0,0.632876712
Altea,9,20,3,2007,21.42,0,0.632876712
Altea,9,20,3,2007,21.53,0,0.632876712
Altea,9,20,3,2007,21.55,0,0.632876712
Altea,9,20,3,2007,21.68,0,0.632876712
Altea,9,20,3,2007,21.87,0,0.632876712
Altea,9,20,3,2007,21.99,0,0.632876712
Altea,9,20,3,2007,22.26,0,0.632876712
