county,lake,sex,mark,catch,recap
Langlade,Enterprise,male,72,54,33
Langlade,Enterprise,female,38,22,7
Langlade,Enterprise,unknown,8,6,0
Langlade,Enterprise,total,118,82,40
Oneida,Clear,male,22,14,9
Oneida,Clear,female,23,15,5
Oneida,Clear,unknown,1,0,0
Oneida,Clear,total,46,29,14
Oneida,Tomahawk,male,35,16,4
Oneida,Tomahawk,female,42,33,5
Oneida,Tomahawk,unknown,4,0,0
Oneida,Tomahawk,total,81,49,9
Oneida,Two.Sisters,male,30,20,10
Oneida,Two.Sisters,female,16,23,8
Oneida,Two.Sisters,unknown,1,1,1
Oneida,Two.Sisters,total,47,44,19
Vilas,Big.Arbor.Vitae,male,128,85,30
Vilas,Big.Arbor.Vitae,female,78,58,20
Vilas,Big.Arbor.Vitae,unknown,22,0,0
Vilas,Big.Arbor.Vitae,total,228,143,50
Vilas,Star,male,42,17,26
Vilas,Star,female,24,7,28
Vilas,Star,unknown,3,4,4
Vilas,Star,total,69,28,58
Vilas,White.Sand,male,23,21,6
Vilas,White.Sand,female,12,17,4
Vilas,White.Sand,unknown,6,0,0
Vilas,White.Sand,total,41,38,10
Polk,Bone,male,220,189,57
Polk,Bone,female,95,95,15
Polk,Bone,unknown,1,15,0
Polk,Bone,total,316,299,72
Price,Pike,male,30,9,5
Price,Pike,female,16,9,3
Price,Pike,unknown,6,0,0
Price,Pike,total,52,18,8
Price,Round,male,37,15,6
Price,Round,female,17,6,2
Price,Round,unknown,8,0,0
Price,Round,total,62,21,8
