year	harvest	escapement	return	SST
1958	NA	NA	2678	NA
1959	NA	NA	10459	11.23
1960	1260	1418	2446	11.63
1961	7624	2835	14934	11.46
1962	489	1957	10031	12.33
1963	10901	4033	8050	11.62
1964	7281	2750	7884	11.05
1965	5159	2891	4430	11.11
1966	4786	3098	13086	11.69
1967	2429	2001	6051	11.5
1968	9871	3215	7801	11.08
1969	3608	2443	5846	10.39
1970	5240	2561	6101	10.81
1971	3012	2834	4175	10.59
1972	3242	2859	2541	10.35
1973	1880	2295	2194	11.07
1974	661	1880	1512	10.26
1975	615	1579	6704	11.2
1976	139	1373	5742	11.81
1977	2521	4183	8809	11.32
1978	2758	2984	4062	11.86
1979	3750	5059	9277	11.36
1980	1393	2669	15452	12.38
1981	5328	3949	10343	11.22
1982	11233	4219	8950	12.22
1983	6053	4290	30011	11.74
1984	4974	3976	3999	10.41
1985	21212	8799	9917	11.51
1986	1143	2856	4906	11.78
1987	5628	4289	18215	11.81
1988	2014	2892	9461	12.26
1989	13638	4577	23359	12.3
1990	5659	3802	NA	NA
1991	18112	5247	NA	NA
