date,sl,fl,tl,w,status,loc
4-Apr-88,807,864,959,2239,Frozen,NB
29-May-84,875,897,950,2948,Live,NB
15-May-90,930,990,1080,3402,Live,NB
21-May-87,1036,1096,1180,6500,Frozen,NB
28-Jun-89,743,794,902,1941,Live,SD
28-Jun-89,829,893,965,2835,Live,SD
27-Jun-91,902,940,1016,3266,Live,SD
18-May-90,1067,1130,1219,4990,Live,SD
16-Apr-89,1211,1274,1406,12247,Live,SD
27-Jun-91,1283,1384,1482,9979,Live,SD
17-May-89,1359,1433,1537,15422,Live,SD
24-May-88,1205,1244,1397,10433,Live,SD
31-May-91,1286,1356,1454,14515,Live,ND
13-Sep-90,1308,1378,1454,15000,Live,ND
14-May-83,1339,1404,1543,17100,Frozen,ND
13-Sep-90,1346,1397,1499,15700,Live,ND
14-Sep-90,1356,1454,1554,17700,Dead,ND
17-Sep-90,1372,1448,1555,18000,Live,ND
6-May-91,1428,1479,1582,19051,Live,ND
26-Jan-91,1158,1240,1328,12500,Live,MT
2-Feb-91,1183,1248,1341,10500,Live,MT
16-May-90,1194,1270,1397,13620,Live,MT
15-Jun-90,1245,1320,1360,13620,Live,MT
21-Mar-89,1257,1321,1435,13000,Live,MT
10-Mar-89,1283,1524,1626,24000,Live,MT
3-Oct-90,1295,1372,1480,16800,Live,MT
19-Jan-91,1372,1463,1554,15000,Live,MT
10-Mar-89,1397,1483,1575,15000,Live,MT
10-Mar-89,1410,1497,1590,14969,Live,MT
10-Feb-90,1431,1508,1615,19958,Live,MT
