# PikeWindermere.txt
#
# data from table 3 in Kipling, C. 1983. Changes in the Population of Pike 
#  (Esox lucius) in Windermere from 1944 to 1981. Journal of Animal Ecology
#  52:989-999.
#
# year: year
# stock: female biomass (kg)
# recruits: number at age-2
# basin: Basin of Windermere (North or South)
# tdd14: Temperature degree-days over 14C.
#
# note: stock values were originally reported in 1000s of kgs and recruits were
#   originally recorded in tens of numbers.
#
year	stock	recruits	basin	tdd14
1944	2200	370	North	232
1945	1100	310	North	296
1946	800	300	North	131
1947	800	910	North	426
1948	700	340	North	159
1949	1000	680	North	435
1950	1100	360	North	256
1951	1100	500	North	279
1952	900	430	North	285
1953	700	290	North	357
1954	700	240	North	156
1955	700	630	North	512
1956	500	270	North	192
1957	800	720	North	385
1958	800	820	North	327
1959	800	1250	North	521
1960	700	480	North	387
1961	700	270	North	219
1962	800	260	North	141
1963	800	510	North	248
1964	400	440	North	293
1965	400	420	North	197
1966	500	450	North	326
1967	400	460	North	336
1968	400	600	North	370
1969	500	350	North	418
1970	500	290	North	344
1971	600	590	North	364
1972	500	210	North	262
1973	500	530	North	412
1974	400	200	North	277
1975	400	440	North	511
1976	300	310	North	499
1977	400	130	North	324
1978	400	160	North	287
1979	400	NA	North	281
1980	200	NA	North	225
1981	200	NA	North	306
1944	1500	430	South	232
1945	1000	260	South	296
1946	900	300	South	131
1947	600	1170	South	426
1948	700	370	South	159
1949	1100	1390	South	435
1950	1700	640	South	256
1951	1800	850	South	279
1952	1700	800	South	285
1953	1600	400	South	357
1954	1700	550	South	156
1955	1700	1380	South	512
1956	1400	760	South	192
1957	1300	590	South	385
1958	1500	900	South	327
1959	1200	1550	South	521
1960	1500	740	South	387
1961	1800	320	South	219
1962	2300	370	South	141
1963	1700	820	South	248
1964	1000	500	South	293
1965	800	500	South	197
1966	900	670	South	326
1967	700	710	South	336
1968	600	700	South	370
1969	800	530	South	418
1970	1100	330	South	344
1971	1200	730	South	364
1972	900	390	South	262
1973	700	460	South	412
1974	500	200	South	277
1975	400	390	South	511
1976	400	260	South	499
1977	500	130	South	324
1978	600	160	South	287
1979	600	NA	South	281
1980	400	NA	South	225
1981	400	NA	South	306
