Lr	Lm	dt
249	239	0.175
272	259	0.060
279	244	0.211
295	281	0.093
305	300	0.060
312	241	0.999
320	218	0.986
324	234	0.914
330	321	0.137
334	245	1.205
337	323	0.654
343	336	0.063
345	269	0.824
349	257	0.871
349	349	0.090
351	263	0.953
356	322	0.975
358	336	0.115
362	257	0.252
363	358	0.068
364	281	0.914
365	238	1.087
365	332	0.945
366	315	0.887
368	259	0.980
369	353	0.104
370	300	0.912
371	338	1.070
373	361	0.256
374	330	0.983
377	300	0.925
379	284	0.898
382	307	0.211
384	297	0.887
384	384	0.071
388	335	0.994
390	364	0.843
390	380	0.115
391	387	0.063
394	394	0.099
395	297	1.040
397	268	1.109
398	206	0.851
399	364	0.799
400	397	0.208
402	249	0.876
403	363	1.027
405	324	10.62
406	339	0.994
407	334	0.860
408	310	1.060
409	332	0.841
411	384	1.098
412	357	0.912
413	336	0.914
415	385	0.846
420	353	0.320
423	355	0.235
425	361	0.945
427	334	0.920
428	340	1.095
428	427	0.159
430	359	0.956
431	380	0.315
432	349	0.841
435	351	1.043
437	323	1.246
440	354	1.016
441	357	1.347
442	430	0.140
448	351	1.098
448	448	0.090
450	258	1.290
451	268	1.339
455	381	0.928
460	430	0.353
463	426	1.038
467	437	0.296
473	410	0.906
482	476	0.901
486	465	0.802
490	377	1.246
496	311	1.205
500	418	0.936
505	418	0.966
510	478	0.296
511	485	1.062
512	485	1.090
519	459	0.999
521	459	0.994
535	523	0.175
544	431	1.103
555	389	0.389
572	569	0.216
587	576	0.290
590	580	0.876
591	563	0.353
597	592	0.879
616	614	0.057
637	628	0.887
650	628	0.895
731	720	1.207
