tl age
7.7 3
7.7 3
7.6 3
7.8 3
8.1 3
8.3 3
8.8 3
8.6 3
8.6 3
8.8 3
8.6 3
9 3
9 4
9.2 4
9 4
9.6 4
9.5 4
9.9 4
9.5 4
9.6 4
10.4 4
10.1 4
10.1 4
10 4
10.3 4
10.8 4
10.6 4
10.5 4
10.8 4
10.9 4
10.8 4
10.7 4
11 4
11.3 4
11.2 4
11.2 4
11.2 5
11.7 5
11.9 5
11.8 5
11.9 5
12.2 5
12 5
12.1 5
12.6 5
12.8 5
12.9 5
13.6 5
13.7 5
12.7 6
13.1 6
13.2 6
13.3 6
13.7 6
13.7 6
13.8 6
13.7 6
13.7 6
13.9 6
13.7 6
13.5 6
14.2 6
14 6
14.2 6
14.8 6
13 7
13.6 7
13.7 7
13.7 7
14.3 7
14.1 7
14.3 7
14 7
14.9 7
14.8 8
14.9 8
14.5 8
14.7 8
14.7 8
14.6 8
15.3 8
15.3 8
15.4 8
15.8 8
14.9 9
15.3 9
15.5 9
15.5 9
16.4 9
16.1 9
16.3 9
16.4 9
16.3 9
16.3 9
16.2 9
15.3 10
15.5 10
15.7 10
16.1 10
16.1 10
16.6 10
17.6 11
17.4 12
