age,tl
3,111
3,125
3,131
3,137
3,143
3,152
4,130
4,138
4,148
4,140
4,147
4,143
4,141
4,141
4,144
4,145
4,143
4,143
4,158
4,153
4,151
4,155
4,154
4,154
4,157
4,155
4,158
4,154
4,155
4,154
4,153
4,155
4,150
4,150
4,157
4,157
4,154
4,154
4,156
4,153
4,157
4,153
4,158
4,158
4,155
4,151
4,151
4,154
4,158
4,156
4,154
4,154
4,154
4,158
4,156
4,157
4,163
4,160
4,163
4,166
4,161
4,165
4,163
4,164
4,162
4,163
4,168
4,167
4,161
4,164
4,167
4,160
4,165
4,164
4,167
4,161
4,168
4,168
4,160
4,166
4,167
4,161
4,160
4,162
4,162
4,165
4,161
4,160
4,167
4,168
4,168
4,166
4,168
4,167
4,165
4,164
4,164
4,165
4,160
4,160
4,168
4,166
4,166
4,163
4,163
4,167
4,167
4,168
4,160
4,165
4,165
4,167
4,163
4,162
4,165
4,167
4,161
4,161
4,166
4,163
4,166
4,161
4,164
4,164
4,162
4,160
4,167
4,166
4,160
4,161
4,174
4,171
4,171
4,177
4,178
4,178
4,172
4,173
4,174
4,175
4,176
4,174
4,173
4,178
4,173
4,174
4,173
4,174
4,173
4,172
4,177
4,171
4,176
4,178
4,176
4,174
4,172
4,175
4,178
4,170
4,172
4,172
4,170
4,170
4,177
4,172
4,175
4,171
4,175
4,172
4,172
4,170
4,174
4,173
4,175
4,174
4,170
4,174
4,170
4,176
4,175
4,176
4,175
4,170
4,174
4,174
4,176
4,174
4,177
4,171
4,176
4,175
4,175
4,178
4,171
4,175
4,174
4,173
4,175
4,174
4,176
4,174
4,180
4,188
4,185
4,188
4,187
4,185
4,188
4,183
4,182
4,184
4,187
4,180
4,185
4,187
4,182
4,180
4,182
4,182
4,187
4,187
4,184
4,184
4,182
4,182
4,182
4,187
4,181
4,188
4,184
4,183
4,184
4,188
4,187
4,180
4,181
4,183
4,187
4,185
4,188
4,188
4,187
4,185
4,181
4,182
4,181
4,182
4,183
4,184
4,183
4,181
4,184
4,185
4,191
4,198
4,192
4,198
4,193
4,196
4,193
4,192
4,192
4,197
4,190
4,190
4,192
4,197
4,190
4,195
4,196
4,204
4,203
4,208
4,212
4,221
5,156
5,158
5,153
5,153
5,163
5,162
5,166
5,165
5,163
5,162
5,167
5,164
5,161
5,164
5,166
5,166
5,162
5,167
5,175
5,176
5,171
5,171
5,178
5,176
5,172
5,176
5,174
5,171
5,170
5,174
5,171
5,172
5,178
5,171
5,173
5,172
5,176
5,174
5,177
5,171
5,178
5,172
5,172
5,172
5,176
5,172
5,172
5,175
5,173
5,170
5,173
5,178
5,171
5,176
5,171
5,170
5,172
5,176
5,175
5,174
5,170
5,185
5,181
5,188
5,182
5,188
5,181
5,185
5,188
5,180
5,185
5,182
5,185
5,188
5,180
5,186
5,186
5,181
5,185
5,185
5,185
5,181
5,181
5,181
5,182
5,187
5,188
5,186
5,188
5,184
5,185
5,187
5,183
5,184
5,186
5,187
5,184
5,184
5,188
5,184
5,181
5,186
5,182
5,184
5,187
5,183
5,184
5,180
5,186
5,183
5,180
5,182
5,184
5,183
5,182
5,184
5,188
5,181
5,187
5,186
5,187
5,181
5,185
5,187
5,180
5,186
5,195
5,192
5,198
5,190
5,192
5,194
5,197
5,195
5,191
5,193
5,198
5,192
5,197
5,196
5,193
5,194
5,191
5,197
5,195
5,193
5,192
5,190
5,198
5,190
5,196
5,195
5,191
5,192
5,193
5,197
5,195
5,191
5,196
5,203
5,208
5,203
5,202
5,201
5,203
5,202
5,200
5,206
5,206
5,201
5,205
5,203
5,205
5,203
5,200
5,206
5,207
5,207
5,212
5,210
5,211
5,217
5,213
5,212
5,212
5,216
5,220
6,162
6,168
6,173
6,175
6,177
6,176
6,174
6,175
6,173
6,170
6,176
6,176
6,170
6,170
6,172
6,174
6,176
6,173
6,170
6,178
6,186
6,183
6,184
6,184
6,185
6,187
6,181
6,187
6,186
6,186
6,187
6,181
6,186
6,187
6,184
6,181
6,185
6,186
6,180
6,181
6,188
6,185
6,184
6,187
6,188
6,187
6,183
6,182
6,181
6,185
6,181
6,185
6,185
6,181
6,186
6,181
6,182
6,183
6,181
6,183
6,180
6,184
6,180
6,185
6,187
6,184
6,187
6,184
6,194
6,195
6,197
6,195
6,194
6,194
6,198
6,197
6,193
6,192
6,198
6,194
6,196
6,196
6,195
6,198
6,191
6,191
6,193
6,190
6,196
6,191
6,193
6,196
6,196
6,190
6,193
6,195
6,193
6,193
6,191
6,197
6,194
6,193
6,191
6,195
6,195
6,191
6,194
6,195
6,190
6,195
6,190
6,195
6,193
6,195
6,195
6,195
6,197
6,197
6,194
6,195
6,193
6,195
6,196
6,198
6,193
6,190
6,196
6,197
6,194
6,190
6,195
6,192
6,191
6,195
6,195
6,207
6,200
6,202
6,201
6,207
6,207
6,203
6,204
6,205
6,205
6,204
6,203
6,205
6,204
6,202
6,208
6,201
6,201
6,206
6,205
6,207
6,201
6,208
6,201
6,204
6,205
6,207
6,206
6,208
6,208
6,203
6,203
6,203
6,202
6,207
6,201
6,206
6,207
6,203
6,202
6,206
6,207
6,203
6,208
6,206
6,200
6,204
6,200
6,207
6,204
6,207
6,207
6,208
6,204
6,201
6,202
6,203
6,200
6,200
6,202
6,207
6,217
6,218
6,217
6,211
6,212
6,212
6,217
6,211
6,210
6,213
6,217
6,216
6,210
6,214
6,211
6,210
6,211
6,210
6,213
6,214
6,216
6,210
6,212
6,217
6,213
6,216
6,217
6,213
6,215
6,217
6,211
6,214
6,211
6,228
6,223
6,225
6,228
6,224
6,225
6,228
6,224
6,222
6,224
6,224
6,220
6,222
6,221
6,223
6,222
6,225
6,226
6,233
6,237
7,172
7,188
7,187
7,183
7,187
7,188
7,182
7,182
7,180
7,181
7,185
7,184
7,184
7,181
7,180
7,182
7,188
7,187
7,181
7,180
7,188
7,180
7,186
7,181
7,183
7,181
7,181
7,184
7,184
7,188
7,181
7,184
7,182
7,193
7,194
7,196
7,197
7,193
7,198
7,193
7,192
7,192
7,196
7,196
7,191
7,198
7,192
7,193
7,191
7,191
7,196
7,196
7,190
7,192
7,197
7,194
7,198
7,195
7,191
7,196
7,195
7,192
7,191
7,192
7,195
7,191
7,198
7,191
7,196
7,195
7,192
7,198
7,193
7,195
7,191
7,197
7,195
7,197
7,193
7,192
7,198
7,194
7,195
7,198
7,196
7,192
7,192
7,190
7,198
7,196
7,190
7,196
7,191
7,190
7,196
7,196
7,194
7,191
7,191
7,198
7,191
7,197
7,197
7,194
7,195
7,195
7,200
7,205
7,203
7,206
7,203
7,205
7,206
7,205
7,201
7,204
7,205
7,203
7,202
7,201
7,201
7,203
7,207
7,207
7,202
7,208
7,206
7,203
7,202
7,201
7,207
7,204
7,207
7,204
7,206
7,200
7,205
7,204
7,208
7,202
7,205
7,200
7,204
7,204
7,202
7,203
7,205
7,200
7,207
7,200
7,208
7,208
7,208
7,200
7,202
7,206
7,200
7,207
7,202
7,206
7,203
7,202
7,204
7,201
7,208
7,203
7,207
7,205
7,205
7,206
7,204
7,203
7,205
7,205
7,207
7,202
7,203
7,200
7,205
7,201
7,200
7,201
7,205
7,206
7,200
7,208
7,207
7,206
7,202
7,204
7,208
7,207
7,201
7,200
7,204
7,208
7,205
7,203
7,208
7,202
7,203
7,211
7,216
7,212
7,213
7,216
7,211
7,215
7,210
7,216
7,215
7,217
7,214
7,216
7,213
7,212
7,211
7,217
7,216
7,218
7,213
7,211
7,215
7,214
7,210
7,214
7,214
7,216
7,216
7,211
7,210
7,217
7,214
7,214
7,212
7,210
7,214
7,214
7,214
7,215
7,210
7,215
7,214
7,213
7,215
7,215
7,212
7,211
7,210
7,215
7,211
7,217
7,217
7,211
7,210
7,216
7,211
7,210
7,211
7,211
7,216
7,213
7,212
7,212
7,212
7,210
7,214
7,213
7,216
7,215
7,213
7,222
7,225
7,223
7,226
7,225
7,227
7,221
7,226
7,221
7,227
7,225
7,226
7,227
7,224
7,228
7,221
7,222
7,223
7,225
7,225
7,222
7,224
7,221
7,222
7,223
7,225
7,226
7,221
7,220
7,221
7,221
7,226
7,224
7,228
7,220
7,223
7,221
7,228
7,224
7,238
7,230
7,233
7,233
7,236
7,231
7,237
7,233
7,234
7,235
7,237
7,237
7,238
7,230
7,237
7,237
7,234
7,233
7,230
7,234
7,238
7,241
7,241
7,246
7,242
7,245
7,245
7,245
7,240
7,254
7,257
7,257
7,258
7,256
7,255
8,187
8,188
8,182
8,182
8,195
8,198
8,191
8,192
8,191
8,193
8,194
8,205
8,207
8,208
8,200
8,206
8,201
8,203
8,203
8,203
8,205
8,203
8,207
8,202
8,207
8,202
8,204
8,208
8,200
8,208
8,203
8,202
8,207
8,202
8,206
8,204
8,208
8,203
8,204
8,210
8,216
8,217
8,216
8,211
8,213
8,216
8,211
8,213
8,211
8,212
8,215
8,215
8,215
8,214
8,216
8,214
8,215
8,218
8,217
8,213
8,217
8,215
8,218
8,213
8,217
8,215
8,217
8,218
8,216
8,212
8,217
8,212
8,210
8,214
8,218
8,210
8,227
8,221
8,224
8,227
8,222
8,223
8,223
8,221
8,223
8,228
8,226
8,226
8,222
8,220
8,221
8,222
8,227
8,224
8,225
8,225
8,220
8,221
8,228
8,220
8,226
8,220
8,227
8,224
8,224
8,228
8,227
8,227
8,224
8,223
8,233
8,231
8,232
8,234
8,235
8,235
8,232
8,236
8,234
8,230
8,230
8,235
8,238
8,230
8,243
8,243
8,241
8,240
8,240
8,241
8,246
8,246
8,245
8,246
8,246
8,243
8,240
8,242
8,240
8,243
8,248
8,250
8,258
8,250
8,266
8,270
9,198
9,197
9,191
9,200
9,203
9,204
9,200
9,214
9,210
9,225
9,222
9,224
9,220
9,225
9,226
9,221
9,221
9,227
9,225
9,224
9,221
9,223
9,223
9,222
9,227
9,231
9,235
9,231
9,230
9,234
9,232
9,233
9,232
9,238
9,238
9,235
9,233
9,236
9,230
9,234
9,245
9,248
9,245
9,244
9,242
9,246
9,240
9,243
9,253
9,253
9,256
9,253
9,251
9,257
9,264
9,265
10,228
10,220
10,227
10,236
10,231
10,230
10,240
10,240
10,240
10,242
10,245
10,243
10,244
10,244
10,253
10,256
10,258
10,262
10,275
10,274
10,278
10,275
11,232
11,237
11,235
11,236
11,248
11,242
11,258
