age.mon	tl.cm	cohort
24	14.53	1988
25	14.4126	1988
26	14.7543	1988
27	14.285	1988
28	15.0855	1988
12	10.865	1989
14	10.3522	1989
16	11.5722	1989
17	14.0615	1989
18	14.4976	1989
19	14.6716	1989
20	14.7194	1989
21	14.2388	1989
23	15.2491	1989
25	15.6317	1989
27	15.549	1989
28	15.5489	1989
29	15.9324	1989
5	6.6923	1990
6	8.5935	1990
7	9.2546	1990
8	9.9414	1990
9	9.2262	1990
10	9.5069	1990
11	9.3183	1990
12	9.2585	1990
13	9.651	1990
14	9.9337	1990
15	11.2215	1990
16	11.9743	1990
17	13.1225	1990
18	13.5625	1990
22	13.5985	1990
23	13.4446	1990
24	14.0595	1990
25	13.6049	1990
26	13.5028	1990
27	13.4457	1990
4	6.0077	1991
5	6.0835	1991
6	7.8475	1991
7	8.4012	1991
8	9.1504	1991
9	10.4679	1991
10	10.1558	1991
11	9.5004	1991
12	9.2359	1991
13	10.0597	1991
15	10.8975	1991
16	12.8707	1991
20	14.3113	1991
21	14.7271	1991
22	14.6014	1991
23	14.3231	1991
24	14.5738	1991
26	14.8677	1991
4	5.9268	1992
5	5.9542	1992
6	7.735	1992
7	8.0034	1992
8	9.3785	1992
9	10.9218	1992
10	10.0471	1992
11	10.7194	1992
12	10.6742	1992
13	9.9156	1992
14	11.8695	1992
15	10.4031	1992
18	13.0434	1992
19	14.2767	1992
20	14.4866	1992
21	13.8365	1992
3	5.4415	1993
4	5.5101	1993
5	6.9683	1993
6	8.9444	1993
7	9.5156	1993
8	11.1956	1993
9	10.1877	1993
10	10.1248	1993
11	9.7366	1993
12	10.5591	1993
13	10.2	1993
14	11.1496	1993
15	12.4698	1993
16	13.121	1993
17	12.901	1993
18	13.2711	1993
19	13.0686	1993
20	13.2237	1993
23	12.7451	1993
24	12.514	1993
25	13.617	1993
26	13.359	1993
27	13.2734	1993
28	13.6499	1993
29	14.4671	1993
30	14.7123	1993
4	6.1403	1994
5	7.2535	1994
6	8.7708	1994
7	9.6099	1994
8	9.6871	1994
9	10.2051	1994
14	10.4625	1994
19	14.1883	1994
21	14.1631	1994
22	14.8024	1994
23	13.4491	1994
24	14.7201	1994
25	14.9433	1994
26	15.1249	1994
27	15.4202	1994
28	15.7492	1994
30	16.2394	1994
31	15.8346	1994
32	16.1142	1994
33	15.9893	1994
34	16.0845	1994
35	16.0916	1994
36	16.2067	1994
37	16.1462	1994
38	15.9373	1994
39	15.7656	1994
4	5.2086	1995
5	6.5609	1995
6	7.4402	1995
7	8.1529	1995
8	8.6996	1995
9	9.1313	1995
10	9.8851	1995
11	9.7905	1995
12	10.6038	1995
13	10.0577	1995
14	10.6862	1995
15	11.3444	1995
16	12.7725	1995
17	13.1657	1995
18	13.0026	1995
19	13.4586	1995
20	13.4544	1995
21	13.4959	1995
22	13.5176	1995
23	13.707	1995
24	13.7174	1995
25	13.8045	1995
26	13.4602	1995
27	13.3669	1995
28	15.0463	1995
4	6.5423	1996
5	6.6003	1996
6	7.8856	1996
7	8.918	1996
8	9.507	1996
9	9.6572	1996
10	9.501	1996
11	9.7194	1996
12	10.0464	1996
13	10.6236	1996
14	10.6662	1996
15	11.241	1996
16	12.5377	1996
18	13.6818	1996
19	13.5317	1996
20	14.5358	1996
21	13.6431	1996
22	14.2835	1996
23	14.5796	1996
24	14.9288	1996
25	14.2028	1996
26	14.7348	1996
28	14.3915	1996
29	15.0437	1996
3	7.0695	1997
4	6.8787	1997
6	7.2854	1997
7	9.6804	1997
8	10.7875	1997
9	10.5823	1997
10	10.9887	1997
11	11.3725	1997
12	11.0292	1997
13	11.0213	1997
14	11.7034	1997
15	13.3742	1997
18	14.4646	1997
19	14.939	1997
20	15.1368	1997
21	15.0723	1997
22	15.467	1997
23	15.2617	1997
24	15.3547	1997
26	15.064	1997
27	15.7771	1997
28	15.8567	1997
31	15.5977	1997
