days	tl
69	13.9
62	15.1
61	12.6
57	12.6
57	14.5
52	14.5
51	14.3
53	12.8
48	11.9
46	13.9
44	13.3
45	12.8
43	12.5
38	14.3
38	12.8
40	12.2
41	11.8
39	11.7
38	11.5
36	10.9
36	11.5
34	11.1
34	10.7
32	10.7
33	11.4
33	11.8
35	12
36	12.3
37	12.1
37	12.6
34	12.7
34	13.5
33	13.2
32	13.5
30	13.6
32	12.8
32	12.3
31	12.3
31	11.9
31	11.3
29	11.7
29	10.7
28	11.2
28	11.5
28	11.7
28	12.4
28	12.6
28	13.2
22	12.2
24	11.9
26	11.5
26	10.9
26	10.7
25	10.2
27	9.8
24	10.4
23	10.7
20	10.2
23	10.2
21	9.8
24	9.6
23	9.2
21	9.1
19	9
21	8.1
20	8
20	7.5
19	7.5
18	8
16	7.9
16	7.9
12	7.4
16	7.2
16	6.3
15	5.4
