fishID,trueAge,agerA1,agerA2,agerB1,agerB2,agerC1,agerC2
00-LR2,5,5,3,,,4,3
00-LR20,4,3,3,5,4,2,2
01-LR30,6,5,5,,,6,6
03-3571,8,6,6,6,6,5,3
01-LR37,6,5,5,,,5,4
02-LR32,7,6,6,,,3,4
LR60-01,6,6,6,5,6,3,3
SR-14,3,4,3,,,4,3
02-LR44,7,7,6,,,5,5
00-LR31,5,5,6,5,5,2,3
SR-12,3,4,4,4,4,4,3
99-PA75,4,6,7,,,3,3
SR8,3,2,3,4,4,3,3
LR35,3,3,2,4,5,2,2
PA12,4,5,5,5,5,4,3
99-L72,4,4,4,,,4,3
00-LR3,5,4,5,6,5,3,3
02-LR20,7,6,8,6,6,6,6
03-3558,8,7,7,6,7,5,5
00-LR72,5,4,5,5,5,3,3
LR15-01,6,3,5,,,3,3
LR11-01,6,5,5,7,6,4,5
SR-4,3,3,3,4,4,3,3
LR-32,4,5,5,5,5,3,2
00-LR69,5,5,4,5,5,3,2
LR-54,7,8,8,6,6,7,5
SR-21,3,3,2,3,3,2,2
SR-3,3,3,3,5,5,3,3
02-LR48,7,8,7,7,6,8,6
LR25-02,6,8,6,6,6,4,5
02-LR19,7,6,6,6,5,4,3
SR-6 03,4,,,,,,
00-LR42,5,5,5,5,5,3,3
02-LR91,7,7,8,6,6,5,5
LR38-01,6,8,5,6,6,5,4
00-LR29,5,5,5,5,6,3,3
03-3460,4,5,5,,,3,3
LR71-01,4,4,4,,,3,3
02-LR21,7,5,6,,,3,4
03-3574,4,4,4,,,3,3
02-LR86,7,5,6,,,6,5
LR47-01,5,4,4,5,5,3,2
LR23-01,6,6,4,6,6,5,4
LR12-01,6,6,5,6,6,5,5
SR-22,3,3,3,5,4,2,2
SR-9,3,3,2,4,4,2,2
02-234,7,5,4,5,5,4,3
LR46-01,6,6,5,6,5,5,3
99-LR59,4,3,3,,,2,2
99-LR57,4,,,,,3,3
03-3293,8,7,5,,,6,4
00-LR8,5,7,7,,,4,4
LR54-00,5,6,6,,,6,3
