len	age	survey
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	1	KAH8810
11	2	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	1	KAH8810
12	2	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	1	KAH8810
13	2	KAH8810
13	2	KAH8810
13	2	KAH8810
13	2	KAH8810
13	2	KAH8810
13	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	2	KAH8810
14	3	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	2	KAH8810
15	3	KAH8810
15	3	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	2	KAH8810
16	3	KAH8810
16	3	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	2	KAH8810
17	3	KAH8810
17	3	KAH8810
17	3	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	2	KAH8810
18	3	KAH8810
18	3	KAH8810
18	3	KAH8810
18	3	KAH8810
18	3	KAH8810
18	3	KAH8810
18	3	KAH8810
19	2	KAH8810
19	2	KAH8810
19	2	KAH8810
19	2	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	3	KAH8810
19	4	KAH8810
20	2	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	3	KAH8810
20	4	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	3	KAH8810
21	4	KAH8810
21	4	KAH8810
21	4	KAH8810
21	4	KAH8810
21	4	KAH8810
21	4	KAH8810
22	3	KAH8810
22	3	KAH8810
22	3	KAH8810
22	3	KAH8810
22	3	KAH8810
22	3	KAH8810
22	3	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	4	KAH8810
22	5	KAH8810
23	3	KAH8810
