tl,age
10.6,1
7.1,1
12.3,3
9.7,2
11.2,3
8.9,1
12.6,3
7.6,1
10,1
7,1
9.9,1
9.6,1
11.9,2
11.1,1
10.9,1
8.2,1
7.1,1
12.7,2
8.3,1
11.5,3
9.1,1
9.7,1
8.2,0
12.9,4
10.3,1
7.8,1
8.5,1
9.6,1
13.2,3
12.1,2
9.8,1
9.1,1
9.9,1
9.9,2
11.3,2
11.1,3
7.1,1
9.6,NA
11.6,3
8.9,1
12.5,2
8.8,1
8.3,1
10.3,1
11.2,2
9.4,NA
12,1
11.2,3
8.7,1
8.5,1
9.1,NA
7.8,1
10.6,2
9.4,NA
10,1
9.6,NA
10.5,1
9,NA
8.2,NA
11.6,3
12,3
10.3,1
9.8,NA
10.8,1
10.7,NA
9.1,NA
7.9,1
11.4,NA
7.7,1
9.6,NA
9.3,NA
8.9,NA
9.5,NA
11.3,NA
8.4,NA
7.2,1
9.4,NA
12.5,3
9.7,NA
10.8,NA
10.8,NA
8.3,NA
7.1,NA
9.2,NA
7.9,NA
11.5,NA
9.9,NA
8.1,NA
9,NA
10.6,NA
9.7,NA
11.2,NA
8.2,NA
8.8,NA
11.9,NA
10.2,NA
8.2,NA
9.2,NA
8.3,NA
8,NA
8.5,NA
9.4,NA
11.7,NA
13.5,4
13.1,3
7.6,NA
11.3,NA
11.6,NA
8.9,NA
8.3,NA
9.9,NA
7.2,NA
13,3
11.1,NA
11.9,NA
10.5,NA
10,NA
7.7,NA
9.2,NA
12.1,2
11,NA
8.4,NA
11.1,NA
7,NA
12,NA
13,3
9.4,NA
8.2,NA
11.7,NA
13.3,3
11.5,NA
7.1,NA
9.1,NA
11,NA
12.4,NA
11,NA
8.3,NA
12.8,NA
8.8,NA
8,NA
10.5,NA
9.8,NA
12.6,NA
8,NA
10.8,NA
9.5,NA
7.9,NA
9.7,NA
10.4,NA
7.6,NA
9.3,NA
8.2,NA
9.7,NA
8.6,NA
12.4,NA
11.7,NA
9.4,NA
8.6,NA
10.6,NA
12.8,NA
10.3,NA
8.7,NA
13.5,3
9.2,NA
8.6,NA
11.1,NA
8.8,NA
7.5,NA
8.7,NA
11,NA
7.1,NA
11.7,NA
8.5,NA
8.5,NA
9,NA
8.4,NA
9.4,NA
9.5,NA
9.5,NA
11.6,NA
9.7,NA
9.7,NA
11,NA
8.1,NA
8.4,NA
8.3,NA
8.7,NA
12.8,NA
10,NA
10.4,NA
7.1,NA
12.8,NA
12,NA
12.2,NA
11.8,NA
8,NA
11.1,NA
10.8,NA
11.3,NA
13.9,4
11.4,NA
8.2,NA
12.9,NA
12.6,NA
11.3,NA
10.3,NA
8.1,NA
7.1,NA
9.6,NA
11.9,NA
11.6,NA
7,NA
8.3,NA
10.4,NA
8.7,NA
7.9,NA
9.6,NA
9.3,NA
9.8,NA
11.8,NA
8.2,NA
6.5,0
13.7,3
8.5,NA
10.1,NA
10.3,NA
8.8,NA
8.1,NA
9.6,NA
11.5,NA
12.1,NA
10.1,NA
10.8,NA
8.8,NA
9.1,NA
10.4,NA
9.6,NA
8.6,NA
13.9,3
8.7,NA
8.7,NA
11.4,NA
11.1,NA
9.3,NA
7,NA
13.5,NA
9.6,NA
7.3,NA
8.1,NA
8.2,NA
13.5,NA
10,NA
9.1,NA
12.9,NA
10.2,NA
11.7,NA
7.1,NA
8.7,NA
7.5,NA
9.8,NA
8.6,NA
11.6,NA
8.5,NA
12,NA
7.5,NA
11.9,NA
10.5,NA
10.5,NA
10.1,NA
8.9,NA
7.6,NA
8.9,NA
8,NA
13,NA
11.9,NA
12.9,NA
8.7,NA
11.5,NA
7.2,NA
7.2,NA
8.1,NA
8.2,NA
8.1,NA
8.5,NA
8,NA
12.3,NA
9.2,NA
11.4,NA
9.4,NA
8.9,NA
12.5,NA
8,NA
12,NA
9.1,NA
8.9,NA
11.4,NA
13,NA
8.7,NA
11.3,NA
8.9,NA
11.3,NA
11.7,NA
6.3,0
9.8,NA
10.9,NA
12.4,NA
11,NA
9.7,NA
12.2,NA
8.1,NA
8.3,NA
12.7,NA
13.8,NA
10.8,NA
9.7,NA
12.8,NA
11.1,NA
7.6,NA
8.3,NA
8.1,NA
7.9,NA
10.7,NA
10.4,NA
9.5,NA
10.9,NA
10.6,NA
9.2,NA
10.7,NA
8.6,NA
7.6,NA
10.8,NA
9.8,NA
10.9,NA
8.9,NA
9.9,NA
10.9,NA
9.9,NA
10.7,NA
10.1,NA
10.9,NA
8.5,NA
8.6,NA
7.4,NA
8.4,NA
9.3,NA
9.6,NA
9.3,NA
11.5,NA
9.8,NA
7.4,NA
9.5,NA
8.2,NA
8.8,NA
11.4,NA
8.3,NA
9.9,NA
13,NA
11.6,NA
9.4,NA
11.6,NA
8.5,NA
9.7,NA
9.7,NA
8.5,NA
8.1,NA
8.6,NA
9.5,NA
8.5,NA
11.5,NA
9.5,NA
13.8,NA
13.3,NA
8.2,NA
8.7,NA
11.6,NA
7.7,NA
8.7,NA
11,NA
8.1,NA
11.1,NA
9.7,NA
9,NA
7.2,NA
10.4,NA
10.9,NA
8.7,NA
9.1,NA
11.1,NA
9.6,NA
12.4,NA
9.4,NA
10.3,NA
10.6,NA
9.7,NA
10.5,NA
10.5,NA
12,NA
10.3,NA
9.4,NA
7.3,NA
9.6,NA
7.5,NA
7.4,NA
