# Otolith (section and bake) and scale (heat pressed) readings for 343 striped bass	
#   processed at the Old Dominion Age and Growth Lab.  Data from Fig. 6 at	
# http://www.odu.edu/sci/cqfe/pdf%20&%20sound%20files/stripedbass_2000.pdf	
#
ageO	ageS
3	3
4	3
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	5
4	5
4	5
4	5
4	5
4	5
4	5
4	5
4	5
4	5
4	5
4	5
5	3
5	3
5	4
5	4
5	4
5	4
5	4
5	4
5	4
5	4
5	4
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	5
5	6
5	6
5	6
5	6
5	6
6	5
6	5
6	5
6	5
6	5
6	5
6	5
6	5
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	8
7	4
7	4
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	5
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	6
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	7
7	8
7	8
7	8
7	9
8	5
8	5
8	7
8	7
8	7
8	7
8	7
8	7
8	7
8	7
8	7
8	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	9
8	9
8	9
9	7
9	7
9	8
9	8
9	8
9	8
9	8
9	8
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	10
9	10
9	10
9	10
10	7
10	8
10	8
10	9
10	9
10	9
10	9
10	9
10	9
10	9
10	9
10	9
10	10
10	10
10	10
10	10
10	10
10	10
10	10
11	8
11	9
11	9
11	9
11	9
11	9
11	9
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	10
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	12
11	12
11	12
11	13
12	8
12	8
12	9
12	10
12	10
12	10
12	11
12	11
12	11
12	11
12	12
12	12
12	12
12	12
12	12
12	12
13	9
13	9
13	10
13	10
13	11
13	11
13	12
13	13
13	13
13	13
13	14
14	8
14	9
14	11
14	12
14	12
14	13
14	13
15	11
15	11
15	11
15	12
15	13
15	13
15	14
16	12
16	13
16	13
16	13
16	14
16	14
16	16
17	13
17	13
17	13
17	14
17	15
17	16
18	10
18	13
18	14
18	16
18	16
18	16
