tl,age
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,3
18,3
18,3
18,3
18,4
18,4
18,5
18,7
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,2
19,3
19,3
19,3
19,3
19,3
19,3
19,3
19,3
19,3
19,4
19,4
19,4
19,4
19,4
19,4
19,4
19,4
19,4
19,4
19,5
19,5
19,5
19,5
19,5
19,6
19,7
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,2
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,3
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,6
20,6
20,7
20,7
20,7
21,2
21,2
21,3
21,3
21,3
21,3
21,3
21,3
21,4
21,4
21,4
21,4
21,4
21,5
21,5
21,5
21,5
21,5
21,5
21,5
21,5
21,6
21,6
21,6
21,6
21,6
21,6
21,6
21,7
21,7
21,7
21,7
21,7
21,7
21,7
21,8
21,8
21,8
21,9
22,3
22,3
22,3
22,4
22,4
22,4
22,4
22,5
22,5
22,5
22,5
22,5
22,5
22,5
22,5
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,6
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,7
22,8
22,8
22,8
22,8
22,8
22,8
22,9
22,9
22,9
23,2
23,3
23,4
23,4
23,5
23,5
23,5
23,5
23,5
23,5
23,5
23,5
23,5
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,6
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,8
23,8
23,8
23,8
23,8
23,9
23,9
23,9
23,9
23,9
23,9
23,10
24,4
24,4
24,5
24,5
24,5
24,5
24,5
24,5
24,5
24,5
24,5
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,6
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,7
24,8
24,8
24,8
24,8
24,8
24,8
24,8
24,8
24,9
24,9
24,9
24,9
24,10
