# Age and total length (mm) for male and female troutperch (Percopsis omiscomaycus)
#  captured in southeastern Lake Michigan.  Data were simulated from the age-length
#  data provided in Table 1 of House, R., and L. Wells.  1973.  Age, growth, 
#  spawning season, and fecundity of the trout-perch (Percopsis omsicomaycus) in 
#  southeastern Lake Michigan. Journal of the Fisheries Research Board of Canada.  
#  30:1221-1225.
#
age	tl	sex
1	48	m
1	50	m
1	51	m
1	52	m
1	56	m
1	56	m
1	55	m
1	56	m
1	56	m
1	57	m
1	60	m
1	67	m
1	73	m
2	67	m
2	70	m
2	70	m
2	73	m
2	75	m
2	76	m
2	75	m
2	78	m
2	78	m
2	80	m
2	82	m
2	83	m
2	80	m
2	82	m
2	83	m
2	88	m
2	86	m
2	86	m
2	86	m
2	90	m
2	90	m
2	90	m
2	90	m
2	95	m
2	98	m
2	97	m
2	97	m
2	97	m
2	108	m
3	87	m
3	87	m
3	91	m
3	91	m
3	91	m
3	93	m
3	93	m
3	90	m
3	95	m
3	97	m
3	97	m
3	97	m
3	95	m
3	98	m
3	97	m
3	98	m
3	98	m
3	98	m
3	96	m
3	97	m
3	97	m
3	103	m
3	100	m
3	101	m
3	102	m
3	100	m
3	101	m
3	100	m
3	102	m
3	102	m
3	101	m
3	103	m
3	103	m
3	101	m
3	102	m
3	101	m
3	102	m
3	103	m
3	103	m
3	100	m
3	101	m
3	103	m
3	100	m
3	100	m
3	100	m
3	103	m
3	102	m
3	101	m
3	100	m
3	100	m
3	101	m
3	100	m
3	101	m
3	101	m
3	101	m
3	100	m
3	102	m
3	100	m
3	102	m
3	107	m
3	108	m
3	105	m
3	106	m
3	107	m
3	106	m
3	108	m
3	105	m
3	108	m
3	105	m
3	107	m
3	105	m
3	105	m
3	107	m
3	107	m
3	108	m
3	107	m
3	105	m
3	108	m
3	107	m
3	108	m
3	105	m
3	106	m
3	108	m
3	108	m
3	105	m
3	108	m
3	108	m
3	108	m
3	106	m
3	106	m
3	111	m
3	112	m
3	113	m
3	110	m
3	113	m
3	111	m
3	110	m
3	113	m
3	113	m
3	112	m
3	112	m
3	112	m
3	113	m
3	111	m
3	113	m
4	93	m
4	95	m
4	101	m
4	101	m
4	107	m
4	106	m
4	105	m
4	106	m
4	107	m
4	107	m
4	108	m
4	110	m
4	113	m
4	111	m
4	113	m
4	111	m
4	110	m
4	110	m
4	111	m
4	110	m
4	112	m
4	113	m
4	110	m
4	113	m
4	112	m
4	112	m
4	113	m
4	110	m
4	110	m
4	117	m
4	118	m
4	116	m
4	115	m
4	118	m
4	116	m
4	118	m
4	117	m
4	117	m
4	118	m
4	115	m
4	118	m
4	116	m
4	118	m
4	115	m
4	116	m
4	116	m
4	115	m
4	115	m
4	115	m
4	120	m
4	120	m
4	122	m
4	127	m
4	127	m
5	118	m
5	118	m
5	116	m
5	115	m
5	123	m
5	123	m
5	120	m
5	122	m
5	123	m
5	123	m
5	126	m
5	127	m
5	126	m
5	127	m
5	126	m
5	128	m
5	132	m
5	133	m
6	130	m
6	130	m
6	133	m
6	132	m
7	126	m
1	27	f
1	30	f
1	55	f
1	55	f
1	55	f
1	62	f
1	62	f
1	60	f
1	61	f
1	62	f
1	61	f
1	62	f
1	65	f
1	70	f
1	76	f
2	58	f
2	62	f
2	61	f
2	67	f
2	65	f
2	65	f
2	65	f
2	65	f
2	71	f
2	72	f
2	75	f
2	75	f
2	76	f
2	82	f
2	81	f
2	80	f
2	81	f
2	86	f
2	88	f
2	88	f
2	85	f
2	91	f
2	93	f
2	91	f
2	92	f
3	91	f
3	90	f
3	90	f
3	98	f
3	96	f
3	97	f
3	96	f
3	97	f
3	98	f
3	96	f
3	95	f
3	97	f
3	100	f
3	103	f
3	103	f
3	100	f
3	102	f
3	100	f
3	100	f
3	102	f
3	102	f
3	101	f
3	108	f
3	106	f
3	107	f
3	107	f
3	107	f
3	106	f
3	108	f
3	105	f
3	107	f
3	108	f
3	105	f
3	106	f
3	106	f
3	106	f
3	108	f
3	105	f
3	110	f
3	111	f
3	113	f
3	110	f
3	110	f
3	112	f
3	111	f
3	113	f
3	111	f
3	111	f
3	110	f
3	110	f
3	113	f
3	113	f
3	111	f
3	110	f
3	110	f
3	112	f
3	112	f
3	110	f
3	111	f
3	117	f
3	116	f
3	116	f
3	115	f
3	117	f
3	117	f
4	106	f
4	108	f
4	106	f
4	107	f
4	107	f
4	105	f
4	106	f
4	108	f
4	113	f
4	112	f
4	110	f
4	110	f
4	112	f
4	110	f
4	112	f
4	111	f
4	111	f
4	110	f
4	113	f
4	112	f
4	110	f
4	116	f
4	118	f
4	117	f
4	116	f
4	115	f
4	116	f
4	118	f
4	118	f
4	116	f
4	116	f
4	115	f
4	117	f
4	115	f
4	118	f
4	118	f
4	118	f
4	118	f
4	116	f
4	116	f
4	115	f
4	116	f
4	118	f
4	118	f
4	116	f
4	118	f
4	116	f
4	115	f
4	117	f
4	118	f
4	118	f
4	115	f
4	115	f
4	118	f
4	123	f
4	122	f
4	122	f
4	120	f
4	120	f
4	120	f
4	121	f
4	121	f
4	122	f
4	121	f
4	122	f
4	126	f
4	125	f
4	127	f
4	125	f
5	115	f
5	118	f
5	117	f
5	115	f
5	116	f
5	122	f
5	121	f
5	122	f
5	121	f
5	123	f
5	123	f
5	122	f
5	123	f
5	122	f
5	126	f
5	127	f
5	126	f
5	127	f
5	126	f
5	128	f
5	133	f
5	132	f
6	128	f
6	131	f
6	133	f
6	136	f
6	135	f
6	137	f
6	142	f
6	141	f
6	143	f
7	148	f
8	152	f
