yrclass	age0	age5	maycv	yep
1958	4532	775	0.24125	66000
1959	22996	2310	0.16319	34000
1960	628	2990	0.46056	35000
1961	879	1400	0.33028	54000
1962	14747	1130	0.22618	68000
1963	13205	790	0.20596	37000
1964	31793	1195	0.19229	29000
1965	10621	981	0.20363	11000
1966	22271	870	0.34520	6000
1967	8736	1104	0.27511	NA
1968	8761	883	0.10884	NA
1969	18885	1421	0.17799	18410
1970	10098	1198	0.21060	NA
1971	3394	760	0.22098	NA
1972	1697	1354	0.39461	NA
1973	25159	1308	0.19696	NA
1974	14093	2016	0.20992	NA
1975	1932	962	0.33459	NA
1976	2292	976	0.24803	NA
1977	17386	1062	0.19815	12274
1978	5334	1945	0.32837	NA
1979	6957	2073	0.41620	NA
1980	1036	1458	0.26409	NA
1981	16345	946	0.25728	17174
1982	6149	1952	0.27111	36262
1983	10366	1280	0.18882	28242
1984	16795	851	0.28661	7153
1985	14599	394	0.12269	3132
1986	15299	2121	0.18605	17690
1987	13882	452	0.14723	33869
1988	4351	396	0.18968	28101
1989	4262	603	0.34298	29653
1990	35607	735	0.19256	14480
1991	4876	1261	0.32032	23926
1992	12331	1011	0.23614	12549
1993	19690	988	0.21200	15060
1994	30225	853	0.26766	14409
1995	4136	683	0.17347	8603
1996	1325	472	0.36654	13574
