reservoir	age	catch
Cedar.Bluff	0	78
Cedar.Bluff	1	70
Cedar.Bluff	2	104
Cedar.Bluff	3	52
Cedar.Bluff	4	33
Cedar.Bluff	5	13
Cedar.Bluff	6	4
Cedar.Bluff	7	2
Cheney	0	131
Cheney	1	28
Cheney	2	42
Cheney	3	82
Cheney	4	16
Cheney	5	7
Cheney	6	4
Cheney	7	1
Cheney	9	3
Glen.Elder	0	311
Glen.Elder	1	628
Glen.Elder	2	524
Glen.Elder	3	191
Glen.Elder	4	127
Glen.Elder	5	82
Glen.Elder	6	9
Glen.Elder	7	9
Kirwin	0	99
Kirwin	1	14
Kirwin	2	49
Kirwin	3	28
Kirwin	4	10
Kirwin	5	3
Lovewell	0	204
Lovewell	1	121
Lovewell	2	111
Lovewell	3	144
Lovewell	4	138
Lovewell	5	39
Lovewell	6	19
Lovewell	7	3
Lovewell	8	3
Lovewell	11	3
Marion	0	118
Marion	1	120
Marion	2	142
Marion	3	159
Marion	4	110
Marion	5	53
Marion	6	33
Marion	7	5
Marion	8	7
Webster	0	52
Webster	1	20
Webster	2	30
Webster	3	25
Webster	4	8
Webster	5	10
Webster	6	9
Webster	7	1
Wilson	0	11
Wilson	1	31
Wilson	2	122
Wilson	3	92
Wilson	4	23
Wilson	5	16
Wilson	6	7
Wilson	7	4
