lake	age	number
Island	3	1376
Island	4	1715
Island	5	1241
Island	6	281
Island	7	151
Island	8	100
Island	9	43
Island	10	41
Island	11	12
Island	12	11
Island	13	9
Island	14	1
Island	15	2
Crooked	3	8
Crooked	4	63
Crooked	5	43
Crooked	6	114
Crooked	7	40
Crooked	8	23
Crooked	9	41
Crooked	10	55
Crooked	11	13
Crooked	12	13
Crooked	13	4
Crooked	14	2
Crooked	15	1
Fourmile	3	37
Fourmile	4	342
Fourmile	5	370
Fourmile	6	89
Fourmile	7	82
Fourmile	8	60
Fourmile	9	16
Fourmile	10	5
Fourmile	11	3
Fourmile	12	1
Fourmile	17	1
Fourmile	18	1
Tom	3	142
Tom	4	166
Tom	5	351
Tom	6	74
Tom	7	36
Tom	8	56
Tom	9	17
Tom	10	12
Tom	11	4
Tom	12	4
Tom	13	4
Tom	14	1
Tom	15	1
Tom	19	1
