otolith	spine	scale	sex
1	2	1	female
2	3	2	female
2	3	2	female
2	3	2	female
2	4	2	female
2	4	2	female
2	5	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
2	NA	2	female
3	3	2	female
3	3	3	female
4	4	4	female
4	4	4	female
4	4	4	female
4	4	4	female
4	4	3	female
5	5	5	female
6	5	5	female
6	5	5	female
6	7	6	female
8	6	6	female
9	10	7	female
10	10	7	female
10	10	8	female
12	8	7	female
12	10	7	female
1	1	1	male
2	2	1	male
2	2	2	male
2	2	2	male
2	2	2	male
2	3	2	male
2	3	2	male
2	3	2	male
3	2	2	male
3	3	3	male
3	4	3	male
3	4	3	male
3	6	4	male
4	4	3	male
4	4	3	male
4	5	3	male
4	5	3	male
4	6	4	male
6	5	3	male
6	6	5	male
7	9	5	male
10	9	6	male
10	9	7	male
10	9	7	male
10	10	9	male
11	9	5	male
11	NA	7	male
12	9	7	male
13	10	6	male
