fish,yearcap,ce,agecap,lencap,inc1,inc2,inc3,inc4,inc5,inc6,inc7,radcap
1179,1961,C,1,236,1.3568,0.9926,NA,NA,NA,NA,NA,2.3494
681,1979,E,1,216,0.6986,0.563,NA,NA,NA,NA,NA,1.2616
691,1979,E,1,188,0.8515,0.6467,NA,NA,NA,NA,NA,1.4982
692,1979,E,1,198,0.9659,0.7202,NA,NA,NA,NA,NA,1.6861
693,1979,E,1,216,1.2599,0.8333,NA,NA,NA,NA,NA,2.0932
702,1979,E,1,211,0.8349,0.5005,NA,NA,NA,NA,NA,1.3354
704,1979,E,1,178,1.3947,0.1068,NA,NA,NA,NA,NA,1.5015
705,1979,E,1,170,0.9664,0.0696,NA,NA,NA,NA,NA,1.036
649,1980,E,1,193,0.9644,0.8766,NA,NA,NA,NA,NA,1.841
650,1980,E,1,193,0.5742,0.407,NA,NA,NA,NA,NA,0.9812
651,1980,E,1,191,0.8497,0.5366,NA,NA,NA,NA,NA,1.3863
652,1980,E,1,198,1.1244,0.81,NA,NA,NA,NA,NA,1.9344
653,1980,E,1,201,1.0455,0.9457,NA,NA,NA,NA,NA,1.9912
669,1980,E,1,191,1.0862,0.8928,NA,NA,NA,NA,NA,1.979
611,1983,E,1,248,1.3482,1.7171,NA,NA,NA,NA,NA,3.0653
577,1985,E,1,239,1.1407,1.364,NA,NA,NA,NA,NA,2.5047
578,1985,E,1,216,0.8326,1.1145,NA,NA,NA,NA,NA,1.9471
587,1985,E,1,249,0.9686,0.8156,NA,NA,NA,NA,NA,1.7842
589,1985,E,1,231,1.1504,0.9368,NA,NA,NA,NA,NA,2.0872
591,1985,E,1,231,1.1277,0.9807,NA,NA,NA,NA,NA,2.1084
592,1985,E,1,226,1.2491,1.0369,NA,NA,NA,NA,NA,2.286
593,1985,E,1,208,0.9959,1.0674,NA,NA,NA,NA,NA,2.0633
595,1985,E,1,234,1.2023,1.3415,NA,NA,NA,NA,NA,2.5438
598,1985,E,1,262,1.364,1.4952,NA,NA,NA,NA,NA,2.8592
603,1985,E,1,218,0.9552,1.1246,NA,NA,NA,NA,NA,2.0798
604,1985,E,1,236,1.1029,1.209,NA,NA,NA,NA,NA,2.3119
606,1985,E,1,234,1.2671,1.2061,NA,NA,NA,NA,NA,2.4732
542,1986,E,1,239,0.6184,1.8508,NA,NA,NA,NA,NA,2.4692
548,1986,E,1,216,0.7096,1.3104,NA,NA,NA,NA,NA,2.02
551,1986,E,1,203,0.747,1.2504,NA,NA,NA,NA,NA,1.9974
556,1986,E,1,206,0.5234,1.3598,NA,NA,NA,NA,NA,1.8832
565,1986,E,1,257,0.944,1.541,NA,NA,NA,NA,NA,2.485
566,1986,E,1,175,0.5846,1.1449,NA,NA,NA,NA,NA,1.7295
567,1986,E,1,178,0.3819,0.8974,NA,NA,NA,NA,NA,1.2793
568,1986,E,1,175,0.4736,1.1378,NA,NA,NA,NA,NA,1.6114
1820,1990,C,1,240,1.4787,1.3993,NA,NA,NA,NA,NA,2.878
1821,1990,C,1,256,1.5494,1.6364,NA,NA,NA,NA,NA,3.1858
