age,tl,sex
3.5,219,male
2.8,261,male
4.7,240,male
4.5,245,male
4.5,256,male
4.6,260,male
5.3,260,male
4.8,267,male
4.8,270,male
4.6,273,male
4.5,278,male
3.7,288,male
3.8,290,male
4,290,male
4,335,male
4.5,293,male
4.5,300,male
4.5,304,male
4.7,313,male
4.8,300,male
4.8,296,male
5,306,male
5.2,311,male
5.4,299,male
5.4,305,male
5.6,306,male
5.6,311,male
5.3,283,male
5.5,282,male
5.5,279,male
5.8,275,male
6.1,284,male
6.3,289,male
6.5,284,male
6.8,281,male
7.3,279,male
6.8,302,male
6.7,309,male
6.6,309,male
6.2,309,male
6,319,male
6.4,319,male
6.5,317,male
6.7,320,male
7,322,male
6.6,325,male
6.7,327,male
6.8,329,male
6.9,330,male
7,329,male
6.4,333,male
6.4,337,male
6.7,347,male
6.7,340,male
6.8,342,male
6.2,378,male
7.2,347,male
7.2,340,male
7.6,348,male
7.5,344,male
7.5,336,male
7.2,310,male
7.4,324,male
7.4,327,male
7.4,333,male
7.5,331,male
7.5,326,male
7.5,325,male
7.5,322,male
7.5,318,male
7.5,317,male
7.6,317,male
7.6,311,male
7.7,311,male
7.9,311,male
7.6,307,male
7.6,304,male
7.5,300,male
7.5,295,male
7.9,300,male
7.9,305,male
7.9,296,male
7.8,293,male
7.8,290,male
7.8,287,male
7.8,280,male
7.9,325,male
7.9,329,male
7.9,332,male
8.1,331,male
8.1,336,male
8.4,337,male
8.5,341,male
8.4,351,male
8.6,351,male
8.7,346,male
8.9,348,male
9,340,male
8.9,335,male
8.4,325,male
9,321,male
8.9,320,male
8.7,321,male
8.6,319,male
8.5,317,male
8.4,315,male
8.2,314,male
8.3,311,male
8.5,311,male
8.6,311,male
8.6,309,male
8.5,302,male
8.5,299,male
8.5,295,male
8.7,293,male
8.5,281,male
8.8,280,male
9.2,282,male
9.2,285,male
9.2,302,male
9.3,314,male
9.1,319,male
9.4,322,male
9.2,322,male
9.3,318,male
9.2,329,male
9.4,329,male
9.7,332,male
9.7,324,male
9.7,312,male
9.5,312,male
9.6,304,male
9.8,299,male
9.8,290,male
9.5,346,male
9.5,349,male
9.5,354,male
9.5,357,male
9.7,361,male
9.8,348,male
10,347,male
10,340,male
10.4,358,male
10.6,360,male
10.4,338,male
10.4,340,male
10.8,339,male
10.4,324,male
10.5,323,male
10.7,325,male
10,311,male
10.3,312,male
10.4,307,male
10.5,299,male
10.5,298,male
10.8,290,male
10.3,275,male
11,295,male
11.2,302,male
11,314,male
10.8,311,male
11.8,272,male
11.8,274,male
12.4,293,male
11.9,300,male
11.8,315,male
11.7,325,male
11.9,329,male
11.4,329,male
11.4,332,male
11.3,325,male
11.4,345,male
11.2,366,male
11.5,360,male
11.7,352,male
11.7,347,male
12,345,male
12.2,351,male
12.5,360,male
12.5,346,male
12.7,344,male
12.6,333,male
12.9,331,male
12.7,325,male
12.2,322,male
12.2,315,male
12.3,315,male
12.3,314,male
13.8,285,male
13.3,323,male
13.4,329,male
13,336,male
13,342,male
13,347,male
13.1,351,male
13.5,358,male
13.4,350,male
13.4,336,male
13.9,355,male
13.7,351,male
13.8,349,male
13.5,342,male
13.8,340,male
13.9,339,male
14.4,340,male
15.5,353,male
16.2,355,male
16.2,347,male
16.2,342,male
16.4,333,male
16.3,317,male
16.2,305,male
16.8,293,male
16.8,282,male
17.3,271,male
17.2,293,male
17.5,307,male
16.5,341,male
16.9,346,male
17.3,351,male
18.4,360,male
18.4,352,male
18.6,349,male
18.6,339,male
18.6,335,male
19.4,352,male
19.6,336,male
19.2,317,male
23.2,362,male
25.2,349,male
25.4,343,male
25.7,322,male
3,229,female
3.5,230,female
3.2,244,female
2.8,269,female
3.8,252,female
4.8,252,female
4.5,256,female
4.3,254,female
4.2,266,female
4.3,272,female
4.1,273,female
4.2,280,female
4.7,287,female
5.2,281,female
5.4,267,female
5.2,259,female
5.6,250,female
6.6,253,female
6.2,260,female
6.5,265,female
7,268,female
7.3,273,female
7.6,262,female
7.6,255,female
7.6,249,female
7.9,264,female
7.9,259,female
6.3,270,female
6.1,269,female
5.9,268,female
6.1,273,female
6.3,273,female
6.1,278,female
6.2,279,female
6.4,277,female
5.8,293,female
6,295,female
6,301,female
5.9,301,female
6.1,305,female
6,307,female
6,311,female
5.9,315,female
5.1,294,female
5.2,300,female
5,339,female
6,349,female
6.6,293,female
6.7,288,female
6.6,284,female
6.6,280,female
6.8,286,female
6.9,291,female
6.8,295,female
6.9,298,female
7.1,298,female
7.3,298,female
7.1,294,female
7.2,287,female
7.4,290,female
7.4,285,female
7.5,283,female
7.5,289,female
6.7,304,female
6.8,307,female
6.9,316,female
7,318,female
6.7,318,female
6.4,318,female
6.5,312,female
6.9,312,female
7,334,female
7,337,female
7.2,337,female
7.9,323,female
8.2,322,female
8,319,female
7.9,312,female
8.1,312,female
8.1,305,female
8.1,302,female
8.2,293,female
8.2,289,female
8.2,285,female
8.2,280,female
8.2,277,female
8.2,273,female
8.4,267,female
8.7,264,female
8.5,292,female
8.5,296,female
8.9,323,female
9.9,352,female
10.5,330,female
10.7,330,female
10.1,321,female
10,314,female
9.9,314,female
9.4,324,female
9.3,324,female
9,304,female
9,302,female
9.2,305,female
9.4,303,female
9.6,300,female
9.4,298,female
9.2,297,female
9.2,293,female
9.1,290,female
9.2,286,female
9.8,281,female
9.8,276,female
9.9,271,female
9.8,266,female
9.9,260,female
10.1,268,female
10.2,263,female
10.5,256,female
10.7,247,female
