# WhitefishLS.txt
#
# Landings and value of lake whitefish in Lake Superior by state  from 1971-2001.
#   from a query at www.st.nmfs.gov/pls/webpls/webst1.MF_GL_SPECIES_HELP.SPECIES
#
# year: year of catch
# state: state of catch (MI, MN, WI)
# catch: catch in lbs
# value: value of catch in dollars
#
year	state	catch	value
1971	MI	447564	229001
1971	WI	264009	110540
1972	MI	455631	250860
1972	WI	277295	133918
1973	MI	501436	301909
1973	MN	3064	1568
1973	WI	260482	137064
1974	MI	499723	340225
1974	MN	2113	1070
1974	WI	264575	140247
1975	MI	514647	336791
1975	MN	468	228
1975	WI	344501	218609
1976	MI	570925	410929
1976	MN	794	402
1976	WI	274769	188728
1977	MI	481999	381690
1977	MN	365	191
1977	WI	309186	228817
1978	MI	463315	362928
1978	WI	316627	244571
1979	MI	565952	477313
1979	WI	296626	275849
1980	MI	829120	809747
1980	MN	2	0
1980	WI	238747	204971
1981	MI	886342	724737
1981	MN	6	0
1981	WI	243309	196663
1982	MI	705395	563542
1982	WI	202955	159336
1983	MI	1442419	907371
1983	MN	234	210
1983	WI	165699	106914
1984	MI	1466965	1075392
1984	MN	1298	0
1984	WI	133453	111785
1985	MI	1227527	797842
1985	WI	111184	64353
1986	MI	1321593	1024325
1986	MN	12	10
1986	WI	134969	94363
1987	MI	1230090	1039746
1987	WI	212254	157582
1988	MI	1236146	1150745
1988	WI	417702	316632
1989	MI	1553387	1386709
1989	WI	361475	315654
1990	MI	1890271	1748145
1990	WI	360070	329795
1991	MI	1349790	1400631
1991	WI	186833	157218
1992	MI	1120645	774214
1992	MN	2039	0
1992	WI	226253	119465
1993	MI	920547	735199
1993	WI	212919	170334
1994	MI	1106317	980574
1994	WI	262870	210301
1995	MI	618496	436557
1995	WI	60408	0
1996	MI	859539	580454
1996	WI	297084	237665
1997	MI	933114	623937
1997	WI	312864	250295
1998	MI	969262	622647
1998	WI	449314	359450
1999	MI	1085810	847692
1999	WI	419437	335559
2000	MI	1017330	1036057
2000	WI	412140	329719
2001	MI	792508	677282
2001	WI	429803	343839
