fin	scale	lake
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	1	L226
1	3	L226
1	3	L226
2	1	L226
2	1	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	2	L226
2	3	L226
2	3	L226
2	3	L226
2	3	L226
2	3	L226
2	3	L226
3	2	L226
3	2	L226
3	2	L226
3	2	L226
3	2	L226
3	2	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	3	L226
3	4	L226
3	4	L226
3	4	L226
3	4	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	3	L226
4	4	L226
4	4	L226
4	4	L226
4	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	4	L226
5	5	L226
5	5	L226
5	5	L226
5	5	L226
6	4	L226
6	4	L226
6	5	L226
6	5	L226
6	5	L226
6	5	L226
6	5	L226
6	6	L226
7	3	L226
7	4	L226
7	4	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	5	L226
7	6	L226
7	6	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	4	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	5	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	6	L226
8	7	L226
8	8	L226
9	5	L226
9	5	L226
9	5	L226
9	5	L226
9	5	L226
9	5	L226
9	6	L226
9	6	L226
9	6	L226
9	6	L226
9	6	L226
9	7	L226
9	7	L226
9	7	L226
9	7	L226
9	7	L226
10	4	L226
10	4	L226
10	4	L226
10	4	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	5	L226
10	6	L226
10	6	L226
10	7	L226
11	4	L226
11	5	L226
11	5	L226
11	5	L226
11	6	L226
11	6	L226
11	7	L226
11	7	L226
11	7	L226
11	7	L226
12	4	L226
12	4	L226
12	4	L226
12	5	L226
12	5	L226
12	5	L226
12	5	L226
12	6	L226
12	6	L226
12	6	L226
12	6	L226
12	7	L226
12	7	L226
12	7	L226
12	8	L226
12	8	L226
13	5	L226
13	5	L226
13	5	L226
13	5	L226
13	5	L226
13	5	L226
13	6	L226
13	6	L226
13	6	L226
13	6	L226
13	6	L226
13	6	L226
13	6	L226
13	7	L226
13	7	L226
13	7	L226
14	5	L226
14	5	L226
14	6	L226
14	6	L226
14	6	L226
14	6	L226
14	6	L226
14	6	L226
14	6	L226
14	7	L226
14	7	L226
14	7	L226
14	7	L226
14	7	L226
14	8	L226
15	5	L226
15	5	L226
15	6	L226
15	6	L226
15	6	L226
15	7	L226
15	7	L226
15	7	L226
15	8	L226
16	7	L226
16	7	L226
16	8	L226
16	8	L226
17	5	L226
21	9	L226
22	9	L226
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
1	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	1	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
2	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
3	2	Dezadeash
4	2	Dezadeash
4	2	Dezadeash
4	2	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
3	3	Dezadeash
