date	length	age	maturity	stage
9/2/2003	31	10	Immature	1
10/7/2002	32	6	Immature	1
7/18/2000	32	11	Immature	1
6/11/2001	32	11	Immature	2
8/8/2000	32	13	Immature	2
10/4/2003	33	9	Immature	1
7/17/2000	33	10	Immature	1
8/18/2002	34	8	Immature	1
7/12/2000	34	10	Immature	1
7/25/2000	34	11	Immature	1
7/17/2000	35	11	Immature	1
7/13/2002	35	12	Immature	1
7/17/2000	36	10	Immature	1
8/6/2000	36	10	Mature	2
7/16/2003	36	10	Mature	1
7/25/2000	36	12	Immature	1
8/27/2003	37	9	Immature	1
7/18/2000	37	9	Mature	2
7/25/2000	37	11	Immature	1
5/13/2000	37	14	Immature	1
6/21/2002	37	17	Mature	1
6/3/2002	38	9	NA	2
8/12/2000	38	10	Immature	2
7/18/2000	38	11	Immature	2
6/21/2002	38	12	Immature	1
6/16/2002	38	18	Mature	2
10/3/2003	39	11	Immature	2
8/6/2000	39	11	Mature	2
5/13/2000	39	13	Immature	1
8/30/2002	39	14	Mature	6
6/21/2002	39	16	NA	1
6/11/2001	40	12	Immature	6
8/31/2003	40	12	Mature	7
6/11/2001	40	12	NA	2
10/6/2002	40	13	NA	7
10/6/2003	40	14	Immature	1
6/3/2002	40	15	Mature	3
8/27/2003	40	16	Immature	2
5/10/2000	41	10	Mature	4
5/13/2000	41	11	Immature	1
7/18/2000	41	11	Mature	2
8/18/2002	41	16	Mature	6
5/21/2001	41	20	Mature	4
6/9/2003	41	21	Mature	2
5/26/2002	41	21	Mature	2
10/1/2003	42	10	Immature	2
7/29/2003	42	13	Mature	7
7/25/2000	42	14	Mature	7
5/4/2000	42	14	Mature	5
10/25/2003	42	15	Mature	8
6/21/2002	42	15	NA	2
5/4/2000	42	16	Mature	5
9/17/2003	42	17	Mature	7
7/17/2000	43	12	Mature	2
4/7/2001	43	12	Mature	3
5/27/2001	43	13	Mature	4
6/21/2002	43	16	Mature	1
9/13/2002	43	17	NA	7
10/7/2002	43	18	Mature	1
9/8/2002	43	20	Mature	1
9/4/2003	44	14	Immature	1
9/9/2003	44	14	Mature	7
6/21/2002	44	15	Mature	6
10/7/2002	44	16	Mature	6
6/11/2002	44	16	NA	2
5/4/2003	44	17	Mature	3
6/11/2001	44	17	NA	2
10/7/2002	44	19	Mature	7
5/21/2001	44	20	Mature	6
6/16/2003	44	21	Mature	3
8/6/2002	45	11	Mature	6
7/1/2003	45	14	Mature	3
5/10/2000	45	15	Mature	5
7/12/2000	45	19	Mature	6
9/29/2003	45	20	Mature	6
5/10/2000	46	9	Mature	4
5/10/2000	46	13	Mature	4
8/23/2003	46	14	Mature	7
10/27/2003	46	14	Mature	7
5/10/2000	46	14	Mature	4
10/2/2003	46	15	Mature	2
5/10/2000	46	15	Mature	4
5/10/2000	46	16	Mature	2
8/18/2002	46	17	Mature	6
5/4/2003	46	18	Mature	3
10/6/2002	46	18	Mature	2
8/25/2002	46	19	Mature	1
8/12/2002	46	19	Mature	6
6/3/2002	46	20	Mature	2
6/9/2003	46	21	Mature	2
5/4/2003	46	22	Mature	6
5/27/2002	46	22	Mature	4
5/27/2002	46	23	Mature	2
6/10/2004	46	28	Mature	6
10/6/2003	47	14	Mature	7
7/25/2000	47	15	Mature	6
5/21/2001	47	16	Mature	6
5/13/2008	47	18	Immature	2
10/7/2002	47	18	Mature	6
8/5/2002	47	18	Mature	6
8/3/2002	47	26	Mature	N/A
8/19/2002	47	28	Mature	6
5/21/2001	47	31	Mature	4
7/18/2000	48	14	Mature	6
10/25/2003	48	15	Mature	7
7/26/2003	48	16	Mature	4
6/21/2002	48	16	Mature	6
10/3/2003	48	17	Mature	6
10/7/2002	48	19	NA	7
6/16/2002	48	23	Mature	6
5/4/2000	48	23	Mature	5
10/7/2002	48	26	Mature	6
5/4/2000	48	27	Mature	5
9/8/2002	49	13	Mature	1
10/7/2002	49	15	Immature	1
9/7/2003	49	17	Mature	7
6/16/2003	49	18	Mature	6
8/6/2002	49	18	Mature	6
10/7/2002	49	18	Mature	7
5/4/2003	49	30	Mature	7
4/28/2003	50	11	Mature	4
8/8/2002	50	16	Mature	NA
5/27/2002	50	20	Mature	4
8/26/2003	51	21	Mature	7
10/7/2002	51	25	Mature	1
10/7/2002	51	28	Mature	6
5/21/2001	52	13	Mature	6
10/7/2002	52	30	Mature	6
6/16/2002	52	30	Mature	6
6/3/2002	52	31	Mature	2
6/10/2004	52	31	Mature	6
9/7/2003	53	18	NA	2
5/4/2000	53	26	Mature	5
10/4/2003	53	28	Mature	7
6/10/2004	53	28	Mature	6
5/4/2000	53	29	Mature	5
10/7/2002	53	30	Mature	6
8/5/2002	54	20	Mature	6
6/16/2002	54	42	Mature	3
9/1/2002	56	44	Mature	6
7/5/2003	57	18	Mature	7
5/3/2003	57	19	Mature	3
8/18/2002	57	32	Mature	6
7/28/2002	57	70	Mature	6
6/13/2003	58	32	Mature	4
8/6/2002	58	39	Mature	6
8/26/2003	60	28	Mature	5
10/6/2003	60	28	Mature	7
7/26/2002	60	33	Mature	6
5/18/2001	61	42	Mature	4
8/8/2000	61	89	Mature	6
4/23/2001	62	61	Mature	6
8/14/2003	64	42	Mature	7
8/9/2002	65	54	Mature	6
10/7/2002	65	94	Mature	6
8/18/2002	67	50	Mature	6
10/7/2002	68	88	Mature	6
4/23/2001	70	66	Mature	4
