fl,w,year
59,2.5,1994
60,2.5,1994
63,3.3,1994
63,3.6,1994
66,3.9,1994
69,4.1,1994
72,4.4,1994
74,4.8,1994
78,5,1994
78,5.6,1994
78,6.2,1994
81,6.2,1994
81,6.3,1994
83,6.3,1994
87,7.8,1994
89,7.8,1994
87,9.1,1994
93,9.5,1994
95,9.8,1994
98,9.8,1994
100,11,1994
98,11.5,1994
102,13.2,1994
105,12.9,1994
105,13.2,1994
110,14.5,1994
112,16.2,1994
120,19.1,1994
123,19.5,1994
78,6.3,1994
81,6,1994
81,6.5,1994
83,6.6,1994
69,4.3,1994
72,4.6,1994
74,4.6,1994
78,5.2,1994
78,5.9,1994
102,14.1,1994
105,12.6,1994
105,13.2,1994
52,2.1,2000
62,2.6,2000
58,2.6,2000
66,3.3,2000
65,3.5,2000
68,3.5,2000
68,3.9,2000
71,3.9,2000
72,4.1,2000
76,4.2,2000
78,4.5,2000
79,4.8,2000
78,5,2000
79,5.4,2000
81,5.5,2000
85,6,2000
89,6.6,2000
91,7.2,2000
93,7.9,2000
98,8.3,2000
95,9.5,2000
98,9.5,2000
100,10.5,2000
107,11.2,2000
110,10.7,2000
110,12.3,2000
110,12.9,2000
112,12.6,2000
115,14.5,2000
117,14.5,2000
120,15.8,2000
120,18.2,2000
123,18.2,2000
126,18.2,2000
126,16.2,2000
123,21.4,2000
141,31.6,2000
132,28.8,2000
151,35.5,2000
166,50.1,2000
68,4.3,2000
71,4.3,2000
72,4.4,2000
78,4.9,2000
79,5.1,2000
78,5.5,2000
79,5.9,2000
85,6.8,2000
89,7.8,2000
91,8.1,2000
93,8.9,2000
95,10,2000
98,10,2000
100,11,2000
107,11.7,2000
110,12.9,2000
110,13.5,2000
115,15.1,2000
117,15.1,2000
