tl	loc
7.4	inner
5.4	inner
6.7	inner
6	inner
7.5	inner
6.6	inner
6.8	inner
6.1	inner
6.1	inner
7.4	inner
7	inner
6.1	inner
7.4	inner
6.5	inner
5.2	inner
5.8	inner
5.8	inner
7.2	inner
5.8	inner
6.5	inner
5.3	inner
7.4	inner
6.8	inner
6.5	inner
6.8	inner
6.8	inner
5.1	inner
5.3	inner
7.2	inner
5.5	inner
6.9	inner
6.6	inner
7.1	inner
9.8	inner
8.2	inner
9.1	inner
9.7	inner
9.8	inner
9.4	inner
9.4	inner
7.8	inner
7.5	inner
8.5	inner
8	inner
9.1	inner
7.7	inner
8.1	inner
9.4	inner
9	inner
7.8	inner
9.2	inner
8.7	inner
8	inner
9.4	inner
9.4	inner
11.8	inner
10.4	inner
10.3	inner
11	inner
10.6	inner
11.9	inner
11.6	inner
12.5	inner
10.8	inner
11.4	inner
12	inner
11	inner
10.6	inner
12.1	inner
10.6	inner
10	inner
11.6	inner
12.4	inner
12	inner
10	inner
10.9	inner
10.9	inner
11.2	inner
12.1	inner
10	inner
12	inner
12	inner
11.9	inner
12.5	inner
10.3	inner
11.8	inner
10.9	inner
11.7	inner
11.7	inner
10.8	inner
12	inner
11.4	inner
11.7	inner
12.3	inner
11.1	inner
10.9	inner
11.3	inner
12.4	inner
10.8	inner
11	inner
10.9	inner
10.1	inner
12.4	inner
11	inner
10.5	inner
12.1	inner
11	inner
11.3	inner
11	inner
10	inner
11.8	inner
11.1	inner
10.8	inner
11.6	inner
11.2	inner
10.7	inner
11	inner
11.6	inner
11.1	inner
11.9	inner
10.7	inner
11.1	inner
11.6	inner
10.9	inner
10.7	inner
11.2	inner
12.3	inner
11.6	inner
12.4	inner
10.6	inner
11.2	inner
11.7	inner
10.5	inner
11.5	inner
12	inner
12.3	inner
10.1	inner
10.6	inner
12	inner
10.8	inner
11.1	inner
11.9	inner
11.7	inner
12.1	inner
11.3	inner
10.8	inner
11.7	inner
10.5	inner
11.6	inner
11	inner
12.4	inner
10.3	inner
11.7	inner
12.1	inner
11.9	inner
10.4	inner
