lakeid,year4,sampledate,gearid,spname,length,weight
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,39,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,40,NA
TR,1981,8/11/1981,FYKNET,YELLOWPERCH,40,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,40,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,40,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,41,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,41,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,42,0.2
TR,1981,8/13/1981,ELFISH,YELLOWPERCH,42,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,42,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,43,0.3
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,43,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,43,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,43,NA
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,44,0.3
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,44,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,44,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,44,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,44,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,44,0.5
TR,1981,8/12/1981,ELFISH,YELLOWPERCH,44,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,44,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,44,NA
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,44,NA
TR,1981,8/12/1981,BSEINE,YELLOWPERCH,44,NA
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,0.5
TR,1981,8/10/1981,BSEINE,YELLOWPERCH,45,0.5
TR,1981,8/11/1981,BSEINE,YELLOWPERCH,45,0.5
