# File -- Alewife.txt
# Ages assigned to Lake Huron alewife.  Data from Table 1A of Hoenig (1995) but
#   originally from O'Gorman et al. (1987).  Used to verify Test of Symmetry calculation.
#
otoliths	scales
0	0
0	0
1	0
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	2
1	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	3
2	3
2	3
2	3
3	2
3	2
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
4	3
4	3
4	3
4	3
4	3
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	4
4	5
5	3
5	3
5	4
5	4
5	4
5	4
5	5
5	5
5	5
5	5
6	3
6	4
6	4
6	4
6	5
6	5
6	6
6	6
7	4
7	5
7	5
7	5
7	5
7	5
7	6
8	4
8	5
8	5
8	5
8	5
9	6
10	6
10	6
