sample	stream	section	date	first	second	third	fourth	Moran.N	Moran.NLCI	Moran.NUCI	Moran.p	Moran.LH	Schnute.N	Schnute.NLCI	Schnute.NUCI	Schnute.p1	Schnute.p	Schnute.LH	ChiSq
1	UNM	2	Jul-74	45	11	18	8	90.6	83.4	109.2	0.44	6.95	123.6	87.3	Inf	0.36	0.19	4.58	4.74
2	UNM	3	Jul-74	52	31	10	12	114.6	107.0	131.5	0.46	3.92	114.2	106.0	147.9	0.46	0.46	3.91	0.02
3	UNM	4	Jul-74	48	10	6	6	71.1	70.0	76.3	0.61	4.71	78.3	70.0	Inf	0.61	0.34	2.22	4.98
4	UNM	2	Jul-76	88	22	11	2	123.4	123.0	126.7	0.70	1.81	123.8	123.0	130.5	0.71	0.67	1.71	0.20
5	UNM	3	Jul-76	50	10	8	6	75.5	74.0	81.3	0.60	4.93	84.6	74.3	Inf	0.59	0.32	2.18	5.50
6	UNM	4	Jul-76	44	12	1	0	57.0	57.0	58.0	0.80	1.12	57.0	57.0	57.5	0.77	0.93	0.08	2.08
7	UNM	2	Oct-75	53	22	14	4	96.4	93.0	104.8	0.55	2.18	96.3	93.0	111.6	0.55	0.56	2.18	0.00
8	HAY	4	Jul-74	24	13	5	3	46.6	45.0	54.4	0.54	1.43	45.7	45.0	56.5	0.52	0.61	1.22	0.42
9	HAY	1	Jul-76	37	4	2	3	46.0	46.0	47.7	0.73	4.45	47.9	46.0	Inf	0.77	0.39	1.92	5.06
10	HAY	2	Jul-76	63	9	12	4	88.9	88.0	93.4	0.64	6.99	97.0	88.1	Inf	0.65	0.35	3.49	7.00
11	HAY	3	Jul-76	16	22	6	4	55.0	48.4	81.6	0.39	5.49	48.7	48.0	55.7	0.33	0.66	1.52	7.94
12	HAY	4	Jul-76	47	16	11	4	80.3	78.0	87.3	0.57	2.14	81.6	78.0	105.4	0.58	0.51	1.97	0.34
13	HAY	6	Jul-76	38	11	4	5	58.9	58.0	64.0	0.61	3.06	61.2	58.0	130.9	0.62	0.46	2.32	1.48
14	HAY	2	Oct-74	18	16	5	2	43.2	41.0	53.5	0.50	2.90	41.0	41.0	45.5	0.44	0.72	0.69	4.42
15	HAY	4	Oct-74	27	9	5	3	44.8	44.0	50.5	0.58	1.52	45.5	44.0	78.4	0.59	0.52	1.40	0.24
16	HAY	3	Oct-74	55	6	3	4	68.0	68.0	69.9	0.74	5.87	71.6	68.0	Inf	0.77	0.37	2.12	7.50
