fl	mass	era
90	11	1977-79
180	107	1977-79
201	119	1977-79
346	587	1977-79
359	539	1977-79
362	659	1977-79
373	719	1977-79
380	779	1977-79
375	839	1977-79
396	755	1977-79
397	815	1977-79
403	887	1977-79
413	887	1977-79
410	971	1977-79
411	1019	1977-79
419	1091	1977-79
431	995	1977-79
442	983	1977-79
429	1151	1977-79
437	1151	1977-79
452	1175	1977-79
450	1271	1977-79
469	1211	1977-79
480	1175	1977-79
460	1343	1977-79
459	1559	1977-79
480	1487	1977-79
436	1095	2001
439	988	2001
439	905	2001
444	845	2001
439	798	2001
434	798	2001
431	798	2001
427	833	2001
432	929	2001
429	940	2001
421	893	2001
421	857	2001
421	821	2001
420	798	2001
429	726	2001
427	679	2001
422	679	2001
419	750	2001
414	738	2001
414	786	2001
414	821	2001
410	845	2001
407	869	2001
415	714	2001
413	679	2001
409	631	2001
410	714	2001
407	726	2001
403	750	2001
400	798	2001
402	810	2001
399	750	2001
408	643	2001
404	667	2001
401	631	2001
400	726	2001
397	750	2001
391	726	2001
391	690	2001
389	679	2001
388	631	2001
385	631	2001
381	631	2001
380	595	2001
375	595	2001
355	524	2001
341	488	2001
340	381	2001
336	381	2001
331	417	2001
330	357	2001
326	381	2001
325	381	2001
321	405	2001
321	345	2001
305	298	2001
300	345	2001
294	310	2001
293	310	2001
291	226	2001
286	226	2001
286	274	2001
280	250	2001
274	250	2001
270	226	2001
260	214	2001
253	179	2001
248	155	2001
245	167	2001
237	167	2001
236	143	2001
234	143	2001
232	143	2001
228	143	2001
223	143	2001
222	83	2001
217	119	2001
212	119	2001
210	95	2001
206	95	2001
197	95	2001
196	95	2001
192	95	2001
190	95	2001
187	95	2001
185	83	2001
184	83	2001
181	71	2001
178	60	2001
176	60	2001
173	60	2001
170	60	2001
167	60	2001
165	60	2001
164	60	2001
161	60	2001
157	60	2001
150	60	2001
147	48	2001
145	48	2001
142	48	2001
134	36	2001
130	36	2001
128	36	2001
116	12	2001
102	12	2001
93	12	2001
89	12	2001
85	12	2001
82	12	2001
