ch freq
"000000001" 122
"000000010" 73
"000000011" 9
"000000100" 168
"000000101" 2
"000000110" 28
"000000111" 1
"000001000" 193
"000001001" 1
"000001010" 6
"000001100" 61
"000001101" 2
"000001110" 7
"000001111" 1
"000010000" 113
"000010010" 2
"000010100" 2
"000011000" 64
"000011010" 3
"000011011" 1
"000011100" 14
"000011110" 1
"000011111" 1
"000100000" 151
"000100110" 1
"000101000" 2
"000110000" 28
"000111000" 10
"001000000" 157
"001010000" 7
"001100000" 31
"001110000" 2
"001111000" 1
"010000000" 236
"010010000" 2
"010100000" 4
"011000000" 78
"011001000" 1
"011010000" 5
"011011100" 1
"011100000" 1
"011110000" 2
"100000000" 63
"101000000" 4
"110000000" 20
"111000000" 2
