# HermanLake.txt
#
# Data were extracted from a South Dakota Fish and Game report at 
#   http://www.sdgfp.info/Wildlife/fishing/SELakes/Herman05.pdf.		
#
# Lake Herman was sampled on June 20-22, 2005 with four overnight gill-net sets and 10
#   overnight trap-net sets. The trap nets are constructed with 19-mm-bar-mesh (0.75 in)
#   netting, 0.9 m high x 1.5 m wide (3 ft high x 5 ft wide) frames and 18.3 m (60 ft) long
#   leads. The gillnets are 45.7 m long x 1.8 m deep (150 ft long x 6 ft deep) with one 7.6 m 
#   (25 ft) panel each of 13, 19, 25, 32, 38 and 51-mm-bar-mesh (0.5, 0.75, 1, 1.25, 1.5, and 2
#   in) monofilament netting.
#
# tl: total length (cm)
# spec: species code (wae=walleye, yep=yellow perch; bkc=black crappie; bbh=black bullhead)
# yr: year of capture
#
tl	spec	yr
16.6	wae	1999
19.2	wae	1999
20.1	wae	1999
21.1	wae	1999
27.7	wae	1999
27.5	wae	1999
28.0	wae	1999
29.7	wae	1999
30.3	wae	1999
31.4	wae	1999
31.4	wae	1999
31.5	wae	1999
31.5	wae	1999
31.1	wae	1999
31.2	wae	1999
31.4	wae	1999
32.4	wae	1999
32.4	wae	1999
32.8	wae	1999
32.3	wae	1999
32.5	wae	1999
32.6	wae	1999
32.6	wae	1999
33.2	wae	1999
33.4	wae	1999
33.9	wae	1999
33.5	wae	1999
33.9	wae	1999
33.5	wae	1999
33.3	wae	1999
33.1	wae	1999
34.1	wae	1999
34.3	wae	1999
34.0	wae	1999
34.2	wae	1999
34.4	wae	1999
35.4	wae	1999
35.4	wae	1999
35.4	wae	1999
35.2	wae	1999
35.8	wae	1999
35.1	wae	1999
35.0	wae	1999
36.0	wae	1999
36.3	wae	1999
37.3	wae	1999
37.6	wae	1999
39.5	wae	1999
41.8	wae	1999
54.2	wae	1999
59.2	wae	1999
19.3	wae	2001
20.1	wae	2001
20.4	wae	2001
22.3	wae	2001
22.5	wae	2001
24.9	wae	2001
31.4	wae	2001
31.6	wae	2001
33.2	wae	2001
34.8	wae	2001
34.5	wae	2001
34.7	wae	2001
38.3	wae	2001
40.7	wae	2001
32.4	wae	2003
32.4	wae	2003
33.7	wae	2003
33.0	wae	2003
33.7	wae	2003
33.3	wae	2003
34.0	wae	2003
34.1	wae	2003
34.6	wae	2003
34.5	wae	2003
34.5	wae	2003
34.4	wae	2003
35.2	wae	2003
35.2	wae	2003
35.5	wae	2003
35.3	wae	2003
35.2	wae	2003
35.4	wae	2003
35.5	wae	2003
35.6	wae	2003
35.2	wae	2003
35.5	wae	2003
35.5	wae	2003
35.1	wae	2003
35.8	wae	2003
35.8	wae	2003
35.2	wae	2003
35.6	wae	2003
35.4	wae	2003
35.6	wae	2003
35.7	wae	2003
35.7	wae	2003
35.9	wae	2003
36.5	wae	2003
36.6	wae	2003
36.6	wae	2003
36.9	wae	2003
36.1	wae	2003
36.3	wae	2003
36.3	wae	2003
36.7	wae	2003
36.7	wae	2003
36.6	wae	2003
36.2	wae	2003
37.3	wae	2003
37.3	wae	2003
37.8	wae	2003
37.2	wae	2003
38.8	wae	2003
38.3	wae	2003
38.1	wae	2003
39.5	wae	2003
39.5	wae	2003
39.3	wae	2003
39.5	wae	2003
39.3	wae	2003
39.6	wae	2003
40.6	wae	2003
40.6	wae	2003
40.2	wae	2003
40.4	wae	2003
41.9	wae	2003
41.1	wae	2003
41.8	wae	2003
42.8	wae	2003
42.3	wae	2003
43.6	wae	2003
43.8	wae	2003
44.4	wae	2003
44.7	wae	2003
44.9	wae	2003
44.1	wae	2003
44.7	wae	2003
46.7	wae	2003
46.8	wae	2003
49.6	wae	2003
50.4	wae	2003
50.3	wae	2003
51.8	wae	2003
54.1	wae	2003
21.8	wae	2005
21.4	wae	2005
23.7	wae	2005
24.7	wae	2005
24.5	wae	2005
24.3	wae	2005
24.2	wae	2005
24.4	wae	2005
24.5	wae	2005
25.6	wae	2005
25.1	wae	2005
25.1	wae	2005
25.4	wae	2005
25.8	wae	2005
25.7	wae	2005
25.0	wae	2005
25.7	wae	2005
25.7	wae	2005
25.3	wae	2005
25.9	wae	2005
26.5	wae	2005
26.5	wae	2005
26.9	wae	2005
26.5	wae	2005
26.7	wae	2005
26.6	wae	2005
26.2	wae	2005
26.7	wae	2005
26.5	wae	2005
26.1	wae	2005
