# HerringISS.txt
#
# from Report of the Atlanto-Scandian Herring and Capelin Working Group. ICES 
#  Doc. C.M. 1995. Assess: 9.;  Anon. 1986. Report of the herring assessment 
#  working group for the area south of 62 degrees N. ICES Doc. C.M. 1986. 
#  Assess: 19.; Anon. 1991. Report of the Atlanto-Scandian Herring and Capelin 
#  Working Group. ICES Doc. C.M. 1991. Assess: 17.; State of marine stocks and 
#  environmental conditions in Icelandic waters 1989 Fishing prospects 1990, 
#  August 1990. Hafranns\'{o}knastofnun Fj\"{o}lrit NR. 19. Marine Research 
#  Institute, Iceland. Mon Jun 20, 1988.; Report of the Northern Pelagic and 
#  Blue Whiting Fisheries Working Group. ICES Doc. C.M. 1997. Assess:14.
#
# from Ransom Myers online database – fish.dal.ca/~myers/welcome.html
#
# year: year of data
# ssb: spawning stock biomass (tonnes)
# rec: recruitment (thousands)
# land: landings (million pounds)
# fmort: fishing related mortality
year	ssb	rec	land	fmort
1946	NA	179506	NA	NA
1947	140720	68007	47800	0.3502
1948	120358	77472	56800	1.5971
1949	90942	197367	5400	0.089
1950	86954	116475	13600	0.195
1951	87738	323928	15800	0.2573
1952	100536	197295	10500	0.4372
1953	108248	167414	17600	0.3589
1954	147062	191196	11000	0.148
1955	169400	469184	20500	0.1398
1956	169861	791378	20400	0.1479
1957	179866	369217	22800	0.201
1958	199636	555110	33500	0.2199
1959	278232	712881	35000	0.2531
1960	258861	531006	28500	0.0713
1961	286802	525297	74000	0.2849
1962	310084	467070	92900	0.4722
1963	267049	585841	130300	0.775
1964	189254	507381	86500	0.802
1965	156607	99674	122900	1.2134
1966	83727	39279	58400	0.7637
1967	89307	178653	67700	1.3328
1968	27410	47144	16800	0.7793
1969	16572	33805	20913	0.9457
1970	19816	70373	16445	1.167
1971	13276	89677	11831	1.5835
1972	10694	418769	370	0.1683
1973	28955	134222	255	0.049
1974	46179	200239	1274	0.0292
1975	117438	554112	13280	0.1098
1976	130191	436442	17168	0.1573
1977	134036	195360	28924	0.3
1978	176745	247634	37333	0.3229
1979	199447	253201	45072	0.2331
1980	213929	876281	53269	0.2827
1981	187323	237704	39544	0.4471
1982	193623	217420	56528	0.4598
1983	220198	467366	58665	0.2121
1984	233018	1205689	50293	0.1311
1985	249819	666498	49092	0.1573
1986	258257	358971	65413	0.3094
1987	360347	517770	75439	0.4711
1988	423416	419520	91760	0.7022
1989	394293	1072390	100733	0.4634
1990	357659	1539950	105593	0.529
1991	306910	900740	109499	0.411
1992	379524	1050220	106825	0.317
1993	556380	353510	102802	0.237
1994	593310	399710	134000	0.331
1995	599610	792290	125850	0.284
1996	509020	NA	95880	0.203

